node_id,type,text,level,number,act,desc,query_text,informative_answer,actionable_answer,readable_answer
PGA_4,Section,"Payment of Gratuity.- (1) Gratuity shall be payable to an employee on 
the termination of his employment after he has rendered continuous service for 
not less than five years,- 
(a)  
on his superannuation, or 
(b) 
on his retirement or resignation, 
(c)  
on his death or disablement due to accident or disease: 
Provided that the completion of continuous service of five years shall not be 
necessary where the termination of the employment of any employee is due to 
death or disablement: 
1[Provided further that in case of death of the employee, gratuity payable to 
him shall be paid to his nominee or, if no nomination has been made, to his 
heirs, and where any such nominees or heirs is minor, the share of such minor, 
shall be deposited with the Controlling Authority who shall invest the same for 
the benefit of such minor in such bank or other financial institution, as may be 
prescribed, until such minor attains majority]. 
Explanation.- For the purposes of this section, disablement means such 
disablement as incapacitates an employee for the work which he was capable of 
performing before the accident or disease resulting in such disablement. 
(2) For every completed year of service or part thereof in excess of six 
months, the employer shall pay gratuity to an employee at the rate of fifteen days' 
wages based on the rate of wages last drawn by the employee concerned: 
Provided that in the case of a piece-rated employee, daily wages shall be 
computed on the average of the total wages received by him for a period of three 
months immediately preceding the termination of his employment, and, for this 
purpose, the wages paid for any overtime work shall not be taken into account: 
Provided further that in the case of 2[an employee who is employed in a 
seasonal establishment, and who is not so employed throughout the year], the 
employer shall pay the gratuity at the rate of seven days' wages for each season. 
3[Explanation.-In the case of a monthly rated employee, the fifteen days' 
wages shall be calculated by dividing the monthly rate of wages last drawn by 
him by twenty-six and multiplying the quotient by fifteen.] 
(3) The amount of gratuity payable to an employee shall not exceed 4[ten 
lakh rupees]. 
(4) For the purpose of computing the gratuity payable to an employee who is 
employed, after his disablement, on reduced wages, his wages for the period 
preceding his disablement shall be taken to be the wages received by him during 
that period, and his wages for the period subsequent to his disablement shall be 
taken to be the wages as so reduced. 
(5) Nothing in this section shall affect the right of an employee to receive 
better terms of gratuity under any award or agreement or contract with the 
employer. 
 (6) Notwithstanding anything contained in sub-section (i),- 
(a)  
the gratuity of an employee, whose services have been 
terminated for any act, wilful omission or negligence causing any 
damage or loss to, or destruction of, property belonging to the 
                           
1  Subs by Act 22 of 1987, sec. 4, for the second proviso (w.e.f. 1.2.1991). 
2  Subs by Act 25 of 1984, sec. 3, for “an employee employed n a seasonal establishment”  
(w.e.f. 1.7.1984). 
3  Ins by Act 22 of 1987, sec. 4 (w.e.f. 24-9-1997). 
4  Substituted by the Payment of Gratuity (Amendment) Act, 2010 (Act No.15 of 
2010) dated 17th May, 2010 (w.e.f. 24-05-2010). 
6 
The Payment of Gratuity Act, 1972 
 
Sec. 4A
 
employer, shall be forfeited to the extent of the damage or loss so 
caused. 
(b)  
the gratuity payable to an employee 1[may be wholly or partially 
forfeited]. 
(i)  
if the services of such employee have been terminated for 
his riotous or disorderly conduct or any other act of 
violence on his part; or 
(ii)  
if the services of such employee have been terminated for 
any act which constitutes an offence involving moral 
turpitude, provided that such offence is committed by 
him in the course of his employment. 
2[***] 
3[4A. Compulsory Insurance.- (1) With effect from such date as may be 
notified by the appropriate Government in this behalf, every employer, other than 
an employer or an establishment belonging to, or under the control of, the 
Central Government or a State Government, shall, subject to the provisions of 
sub- section (2), obtain an insurance in the manner prescribed, for his liability 
for payment towards the gratuity under this Act, from the Life Insurance 
Corporation of India established under the Life Insurance Corporation of India 
Act, 1956 (31 of 1956) or any other prescribed insurer: 
Provided that different dates may be appointed for different establishments 
or class of establishments or for different areas. 
(2) The appropriate Government may, subject to such conditions as may be 
prescribed, exempt every employer who had already established an approved 
gratuity fund in respect of his employees and who desires to continue such 
arrangement, and every employer employing five hundred or more persons who 
establishes an approved gratuity fund in the manner prescribed from the 
provisions of sub-section (1). 
(3) For the purpose of effectively implementing the provisions of this section, 
every employer shall within such time as may be prescribed get his 
establishment registered with the controlling authority in the prescribed manner 
and no employer shall be registered under the provisions of this section unless 
he has taken an insurance referred to in sub-section (1) or has established an 
approved gratuity fund referred to in sub-section (2). 
(4) The appropriate Government may, by notification, make rules to give 
effect to the provisions of this section and such rules may provide for the 
composition of the Board of Trustees of the approved gratuity fund and for the 
recovery by the controlling authority of the amount of the gratuity payable to an 
employee from the Life Insurance Corporation of India or any other insurer with 
whom an insurance has been taken under sub-section (1), or as the case may be, 
the Board of Trustees of the approved gratuity fund. 
(5) Where an employer fails to make any payment by way of premium to the 
insurance referred to in sub-section (1) or by way of contribution to an approved 
gratuity fund referred to in sub- section (2) he shall be liable to pay the amount 
of gratuity due under this Act (including interest, if any, for delayed payments) 
forthwith to the controlling authority. 
(6) Whoever contravenes the provisions of sub-section (5) shall be 
punishable with fine which may extend to ten thousand rupees and in the case of 
                           
1  Subs. by Act No. 25 of 1984, sec. 3, for “shall be wholly forfeited” (w.e.f.1-7-1984). 
2  Sub-section (7) ins. by Act 25 of 1984, Sec. 3 (w.e.f. 1-7-1984) and omitted by Act 34 of 
1994 (w.e.f. 24.5.1994). 
3  Ins. by Act No. 22 of 1987, sec. 5 (w.e.f. 1.10.1987). 
Sec. 6 
The Payment of Gratuity Act, 1972 
 
7
 
a continuing offence with a further fine which may extend to one thousand 
rupees for each day during which the offence continues. 
Explanation.-In this section “approved gratuity fund” shall have the same 
meaning as in clause (v) of Section 2 of the Income Tax Act, 1961 (43 of 1961)].",h2,4,PGA,Payment of gratuity,,,,
Payment of Gratuity Act 1972,Act,,h2,,,,,,,
gratuity,Concept,,,,,,,,,
PGA_7,Section,"Determination of the amount of Gratuity.- (1) A person who is eligible 
for payment of gratuity under this Act or any person authorised, in writing, to act 
on his behalf shall send a written application to the employer, within such time 
and in such form, as may be prescribed, for payment of such gratuity. 
(2) As soon as gratuity becomes payable, the employer shall, whether an 
application referred to in sub-section (i) has been made or not, determine the 
amount of gratuity and give notice in writing to the person to whom the gratuity 
is payable and also to the controlling authority specifying the amount of gratuity 
so determined. 
1[(3) The employer shall arrange to pay the amount of gratuity within thirty 
days from the date it becomes payable to the person to whom the gratuity is 
payable. 
(3-A) If the amount of gratuity payable under sub-section (3) is not paid by 
the employer within the period specified in sub-section (3) the employer shall 
pay, from the date on which the gratuity becomes payable to the date on which it 
is paid, simple interest at such rate, not exceeding the rate notified by the 
Central Government from time to time for repayment of long term deposits, as 
that Government may, by notification specify: 
Provided that no such interest shall be payable if the delay in the payment is 
due to the fault of the employee and the employer has obtained permission in 
writing from the Controlling Authority for the delayed payment on this ground]. 
(4)(a) If there is any dispute as to the amount of gratuity payable to an 
employee under this Act or as to the admissibility of any claim of, or in relation 
to, an employee for payment of gratuity, or as to the person entitled to receive the 
gratuity, the employer shall deposit with the Controlling Authority such amount 
as he admits to be payable by him as gratuity. 
2[***] 
3[(b) Where there is a dispute with regard to any matter or matters specified 
in Clause (a), the employer or employee or any other person raising the dispute 
may make an application to the Controlling Authority for deciding the dispute.]  
4[5[(c)] The Controlling Authority shall, after due inquiry and after giving the 
parties to the dispute a reasonable opportunity of being heard, determine the 
matter or matters in dispute and, if, as a result of such inquiry any amount is 
found to be payable to the employee, the Controlling Authority shall direct the 
employer to pay such amount or, as the case may be, such amount as reduced 
by the amount already deposited by the employer.] 
6[(d)] The Controlling Authority shall pay the amount deposited, including 
the excess amount, if any, deposited by the employer, to the person entitled 
thereto. 
7[(e)] As soon as may be after a deposit is made under Clause (a), the 
Controlling Authority shall pay the amount of the deposit- 
(i)  
to the applicant where he is the employee; or 
                           
1  Subs. by Act No. 22 of 1987, sec. 7 for sub-section (3), (w.e.f. 1.10.1987). 
2  The Explanation omitted by Act 25 of 1984, sec. 4 (w.e.f. 1.7.1984). 
3  Ins. by Act 25 of 1984, sec. 4, (w.e.f 1-7-1984). 
4  Clause (b) re-lettered as clauses (c) by Act No.25 of 1984 sec. 4, *(w.e.f. 1.7.1984). 
5  Clause ((c) subs. by Act No.25 of 1984, sec. 4, and clause (c) (w.e.f. 1.7.1984). 
6  Clause (c) and (d) re-lettered as clauses (d) and (e) by Act No.25 of 1984 sec. 4 (w.e.f. 
1.7.1984. 
7  Clause (c) and (d) re-lettered as clauses (d) and (e) by Act No.25 of 1984 sec. 4 (w.e.f. 
1.7.1984. 
Sec. 7B 
The Payment of Gratuity Act, 1972 
 
9
 
(ii)  
where the applicant is the employee, to the 1[nominee or, as the 
case may be, the guardian of such nominee or] heir of the 
employee if the Controlling Authority is satisfied that there is no 
dispute as to the right of the applicant to receive the amount of 
gratuity. 
(5) For the purpose of conducting an inquiry under Sub-Section (4), the 
controlling authority shall have the same powers as are vested in a Court, while 
trying a suit, under the Code of Civil Procedure,1908 (5 of 1908), in respect of the 
following matters namely:- 
(a) 
enforcing the attendance of any person or examining him on 
oath; 
(b)  
requiring the discovery and production of documents; 
(c)  
receiving evidence on affidavits; 
(d)  
issuing commissions for the examination of witnesses. 
(6) Any inquiry under this Section shall be a judicial proceeding within the 
meaning of Sections 193 and 228, and for the purpose of Section 196, of the 
Indian Penal Code, 1860 (45 of 1860). 
(7) Any person aggrieved by an order under sub-section (4), may, within 
sixty days from the date of the receipt of the order, prefer an appeal to the 
appropriate Government or such other authority as may be specified by the 
appropriate Government in this behalf: 
Provided that the appropriate Government or the appellate authority, as the 
case may be, may, if it is satisfied that the appellant was prevented by sufficient 
cause from preferring the appeal within the said period of sixty days, extend the 
said period by a further period of sixty days. 
2[Provided further that no appeal by an employer shall be admitted unless at 
the time of preferring the appeal, the appellant either produces a certificate of the 
controlling authority to the effect that the appellant has deposited with him an 
amount equal to the amount of gratuity required to be deposited under sub-
section (4), or deposits with the appellate authority such amount.] 
(8) The appropriate Government or the appellate authority, as the case may 
be, may, after giving the parties to the appeal a reasonable opportunity of being 
heard, confirm, modify or reverse the decision of the controlling authority. 
3[7A. Inspectors.-(1) The appropriate Government may, by notification, 
appoint as many Inspectors, as it deems fit, for the purposes of this Act. 
(2) The appropriate Government may, by general or special order, define the 
area to which the authority of an Inspector so appointed shall extend and where 
two or more Inspectors are appointed for the same area, also provide, by such 
order, for the distribution or allocation of work to be performed by them under 
the Act. 
(3) Every Inspector shall be deemed to be a public servant within the 
meaning of Sec. 21 of the Indian Penal Code, 1860 (Act 45 of 1860). 
 
4[7B. Powers of Inspectors.- (1) Subject to any rules made by the 
appropriate Government in this behalf, an Inspector may, for the purpose of 
ascertaining whether any of the provisions of this Act or the conditions, if any, of 
any exemption granted thereunder, have been complied with, exercise all or any 
of the following powers, namely:- 
                           
1  Subs. by Act No. 25 of 1984, sec. 4 for “nominee or” (w.e.f. 1.7.1984). 
2  Ins. by Act No. 25 of 1984, sec. 4 (w.e.f. 1.7.1984). 
3  Ins. by Act No. 25 of 1984, sec. 4 (w.e.f. 1.7.1984). 
4  Ins. by Act No. 25 of 1984, sec. 4 (w.e.f.) 1.7.1984. 
10 
The Payment of Gratuity Act, 1972 
 
Sec. 8
 
(a)  
require an employer to furnish such information as he may 
consider necessary; 
(b)  
enter and inspect, at all reasonable hours, with such assistants 
(if any), being persons in the service of the Government or local 
or any public authority, as he thinks fit, any premises of or place 
in any factory, mine, oil-field, plantation, port, railway company, 
shop or other establishment to which this Act applies, for the 
purpose of examining any register, record or notice or other 
document required to be kept or exhibited under this Act or the 
rules made thereunder, or otherwise kept or exhibited in relation 
to the employment of any person or the payment of gratuity to 
the employees, and require the production thereof for inspection; 
(c)  
examine with respect to any matter relevant to any of the 
purposes aforesaid, the employer or any person whom he finds 
in such premises or place and who, he has reasonable cause to 
believe, is an employee employed therein; 
(d)  
make copies of, or take extracts from any register, record, notice 
or other document, as he may consider relevant, and where he 
has reason to believe that any offence under this Act has been 
committed by an employer, search and seize with such 
assistance as he may think fit, such register, record, notice or 
other document as he may consider relevant in respect of that 
offence; 
(e)  
exercise such other powers as may be prescribed. 
(2) Any person required to produce any register, record, notice or other 
document or to give any information, by an Inspector under sub-section (1) shall 
be deemed to be legally bound to do so within the meaning of Sections 175 and 
176 of the Indian Penal Code (45 of 1860). 
(3) The provisions of the Code of Criminal Procedure, 1973 (2 of 1974), shall 
so far as may be, apply to any search or seizure under this section as they apply 
to any search or seizure made under the authority of a warrant issued under 
Section 94 of that Code.]",h2,7,PGA,Determination of the amount of gratuity,,,,
labour_court,Concept,,,,,,,,,
PBA_10,Section,"The Payment of Bonus (Second Amendment) Act, 1980 (66 of 1980).",h2,10,PBA,Auto-extracted: PBA Section 10,,,,
PBA,Act,,h2,,,,,,,
PBA_11,Section,"The National Bank for Agriculture and Rural Development Act, 1981 (61 of 
1981).",h2,11,PBA,Auto-extracted: PBA Section 11,,,,
PBA_8,Section,"Eligibility for bonus.—Every employee shall be entitled to be paid by his 
employer in an accounting year, bonus, in accordance with the provisions of this 
Act, provided he has worked in the establishment for not less than thirty working 
days in that year.",h2,8,PBA,Auto-extracted: PBA Section 8,,,,
MBA_5,Section,Right to payment of maternity benefit,h2,5,MBA,Right to payment of maternity benefit,,,,
Maternity Benefit Act 1961,Act,,h2,,,,,,,
maternity,Concept,,,,,,,,,
MBA_10,Section,"Leave for illness arising out of pregnancy, delivery, 
premature birth of child, miscarriage, medical termination 
of pregnancy or tubectomy operation",h2,10,MBA,Auto-extracted: Maternity Benefit Act 1961 Section 10,,,,
leave,Concept,,,,,,,,,
MB_AMD_1,Section,"(1) This Act may be called the Maternity Benefit (Amendment) Act, 2017. 
(2) It shall come into force on such date as the Central Government may, by notification 
in the Official Gazette, appoint : 
Provided that difTerent dates may be appointed for different provisions of this Act and 
any reference in any such provision to the commencement of this Act shall be construed as 
a reference to the coming into force of that provision.",h2,1,MB_AMD,Auto-extracted: MB_AMD Section 1,,,,
MB_AMD,Act,,h2,,,,,,,
MB_AMD_2,Section,"In the Maternity Benefit Act, 1961 (hereinafter referred to as the principal Act), in 
section 3, after clause (b), the following clause shall be inserted, namely:-
'(ba) ""commissioning mother"" means a biological mother who uses her egg to 
create an embryo implanted in any other woman;'.",h2,2,MB_AMD,Auto-extracted: MB_AMD Section 2,,,,
MB_AMD_3,Section,"In the principal Act, in section 5,-
(A) in sub-section (3)-
(i) for the words ""twelve weeks of which not more than six weeks"", the 
Short title and 
commencement. 
Amendment 
of section 3. 
Amendment 
of section 5. 
insertion of 
new section 
I lA. 
Creche 
facility. 
2 
THE GAZETTE OF INDIAEXTRAORDINARY 
[PARTII-SEC. 11 
words ""twenty-six weeks of which not more than eight weeks"" shall be substituted; 
(ii) after sub-section (3) and before the first proviso, the following proviso 
shall be inserted, namely:-
""Provided that the maximum period entitled to maternity benefit by 
a woman having two or more than two surviving children shall be twelve 
weeks of which not more than six weeks shall precede the date of her 
expected delivery;'': 
(iii) in the first proviso, for the words ''Provided that"", the words ""Provided 
further that"" shall be substituted; 
(iv) in the second proviso, for the words ''Provided further that"", the 
words ""Provided also that"" shall be substituted; 
(B) after sub-section (3), the following sub-sections shall be inserted, namely:-
""(4)A woman who legally adopts a child below the age of three months or 
a commissioning mother shall be entitled to maternity benefit f()r a period of 
twelve weeks from the date the child is handed over to the adopting mother or 
the commissioning mother, as the case may be. 
(5) In case where the nature of work assigned to a woman is of such nature 
that she may work from home, the employer may allow her to do so after availing 
of the maternity benefit for such period and on such conditions as the employer 
and the woman may mutually agree."". 
~. In the principal Act, after section 11, the following section shall be inserted, name! y:-
""11A. ( 1) Every establishment having fifty or more employees shall have the 
facility of creche within such distance as may be prescribed, either separately or along 
with common facilities : 
Provided that the employer shall allow four visits a day to the creche by the 
woman, which shall also include the interval for rest allowed to her. 
(2) Every establishment shall intimate in writing and electronically to every 
woman at the time of her initial appointment regarding every benefit available under 
the Act."". 
DR. G NARAYANA RAni, 
Secretwy to the Gort. of India. 
UPLOADED BY THE GENERAL MANAGER, GOVERNMENT OF INDIA PRESS, MINTO ROAD, NEW DELHI-110002 
AND PUBLISHED BY THE CONTROLLER OF PUBLICATIONS. DELHI-110054. 
GMGIPMRND-5579GI-28-3-2017. 
MAN OJ 
Digitally signed 
byMANOJ 
KUMAR 
KUMAR Date:2017.03.29 
04:15:54 +05'30' 
~ 
~o -mo ~o-33004/99 
REGD. NO. D. L.-33004/99 
at=) I 
Q:he <5aLette of Jndia 
~. 914] 
No. 914] 
~ 
EXTRAORDINARY 
'q11T 11-(gUS 3-~-(gUS (ii) 
PART 11-Section 3-Sub-section (ii) 
~'it 
'll<i'il~l\'1 
PUBLISHED BY AUTHORITY 
~~. 
~. 
'qT'€f 31, 2017k 10,1939 
NEW DELHI, FRIDAY, MARCH 31, 2017/CHAITRA 10, 1939 
~ 
afR <l\il~ll( sl?ll~4 
~ 
if{~. 31 TJT'tl', 2017 
'fif.31T. 1 026(31"").- ~ 
~. ~ 
~m 
(""ff~iT~) ~. 
2017 (2017 'fiT 6) oft mu 1 oft ~-mu 
(2) mu ~ 
~rftF<if 'fiT~ m gr1:, ~ 
--
(i) 1 $,2017~;rw~~~. 
~mu3oft~-mu(5);q-~ 
(ii) 1 ~. 
2017~;rw~oftmu3oft~-mu(5), 
~Ql""if. ~~~~~~ 
['fiT. ""ft. ~-36012/03/2015-m.~.-I] 
~~'Jffi.~~ 
MINISTRY OF LABOUR AND EMPLOYMENT 
NOTIFICATION 
New Delhi, the 31st March, 2017 
S.O. 1026(E).- In exercise of the powers conferred by sub-section (2) of section 1 of the Maternity Benefit 
(Amendment) Act, 2017 ( 6 of2017), the Central Government hereby appoints-
(i) the 1st day of April, 2017 as the date on which the provisions of the said Act, except sub-section (5) of 
section 3: and 
(ii) the 1st day of July, 2017, as the date on which sub-section (5) of section 3 of the said Act, 
shall come into force. 
1833 GI/2017 
[F .N o.S-360 12//03/20 15-SS-I] 
MANISH KUMAR GUPTA, Jt. Secy. 
Uploaded by Dte. ofPrinting at Government oflndia Press, Ring Road, Mayapuri, New Delhi-110064 
and Published by the Controller of Publications, Delhi-110054. 
ALQ K 
Digitally signed 
by ALOK KUMAR 
KUMAR 
Date:2017.04.01 
12:43:21 +05'30' 
~ 
""Bo 'tto ~o-33004/99 
REGD. NO. D. L.-33004/99 
iihl 
~he <GaLette of Jndia 
~. 934] 
No. 934] 
~ 
EXTRAORDINARY 
~II-~ 
3-~-~ (ii) 
PART 11-Section 3-Sub-section (ii) 
~~~ 
PUBLISHED BY AUTHORITY 
~ ~. ~ 
•• 
03, 2017/thr 13, 1939 
NEW DELHI, MONDAY, APRIL 03, 2017/CHAITRA 13, 1939 
l!ll131h: ~ 
~ 
~ 
~~. 3~.2017 
CfiT.3lf. 1049(31'.).-~ 31 lff""'f. 2016 ~ CfiT.3lf. 'ft. 1026(31'.) ~ mr ~ 
~ ~. 
3ffiTID'{lJT, 
'lWT-11, ~-3, ~-~ (ii) it~~ 
mefiR, l!ll1 31h: ~~eft~ 
31 lff""'f, 2017 eft 
~ 
~ 
914 it ·mu 3 eft ~-mu (5)' li~ 31h: ~ 
~ ft;rQ: ~ 
WR1 lR ·mu 4 eft ~-mu (1)' 
li~ ~ 
atCfi ~~I 
(~'ft. ~-36012/03/2015-m.~.-1] 
~~'JFIT.~~ 
MINISTRY OF LABOUR AND EMPLOYMENT 
CORRIGENDUM 
New Delhi, the 3rd April, 2017 
S.O. 1049(E).-In the Government oflndia, Ministry of Labour and Employment notification No.914 
dated 31st March,20 17, published in the Gazette oflndia, Extraordinary, Part II, Section 3, Sub-section (ii), 
vide number S.O. 1026 (E) dated the 31st March, 2016,-for the words and figures 'sub-section (5) of section 
3', the words and figures 'sub-section (1) of section 4' may be read at both the places. 
1876 GI/2017 
[F.No.S-36012/03/2015-SS-1] 
MANISH KUMAR GUPTA, Jt. Secy. 
Uploaded by Dte. of Printing at Government of India Press, Ring Road, Mayapuri, New Delhi-11 0064 
and Published by the Controller of Publications, Delhi-11 0054. A L Q K 
Digitally signed 
by ALOK KUMAR 
KUMAR 
Date:2017.04.05 
15:31:58 +05'30'",h2,3,MB_AMD,Auto-extracted: MB_AMD Section 3,,,,
ERA_1,Section,"Short title, extent and commencement.",h2,1,ERA,Auto-extracted: ERA Section 1,,,,
ERA,Act,,h2,,,,,,,
ERA_2,Section,Definitions.,h2,2,ERA,Auto-extracted: ERA Section 2,,,,
ERA_3,Section,"Act to have overriding erect. 
 
CHAPTER II  
 PAYMENT OF REMUNERATION AT EQUAL RATES TO MEN AND WOMEN 
WORKERS AND OTHER MATTERS",h2,3,ERA,Auto-extracted: ERA Section 3,,,,
ERA_4,Section,"Duty of employer to pay equal remuneration to men and women workers for same 
work or work of similar nature.",h2,4,ERA,Auto-extracted: ERA Section 4,,,,
ERA_5,Section,No discrimination to be made while recruiting men and women workers.,h2,5,ERA,Auto-extracted: ERA Section 5,,,,
ERA_6,Section,Advisory Committee.,h2,6,ERA,Auto-extracted: ERA Section 6,,,,
ERA_7,Section,"Power of appropriate Government to appoint authorities for hearing and deciding 
claims and complaints. 
 
CHAPTER III  
 MISCELLANEOUS",h2,7,ERA,Auto-extracted: ERA Section 7,,,,
ERA_8,Section,Duty of employers to maintain registers.,h2,8,ERA,Auto-extracted: ERA Section 8,,,,
ERA_9,Section,Inspectors.,h2,9,ERA,Auto-extracted: ERA Section 9,,,,
ERA_10,Section,Penalties.,h2,10,ERA,Auto-extracted: ERA Section 10,,,,
ERA_11,Section,Offences by companies.,h2,11,ERA,Auto-extracted: ERA Section 11,,,,
ERA_12,Section,Cognizance and trial of offences.,h2,12,ERA,Auto-extracted: ERA Section 12,,,,
ERA_13,Section,Power to make rules.,h2,13,ERA,Auto-extracted: ERA Section 13,,,,
ERA_14,Section,Power of Central Government to give directions.,h2,14,ERA,Auto-extracted: ERA Section 14,,,,
ERA_15,Section,Act not to apply in certain special cases.,h2,15,ERA,Auto-extracted: ERA Section 15,,,,
ERA_16,Section,Power to make declaration.,h2,16,ERA,Auto-extracted: ERA Section 16,,,,
ERA_17,Section,Power to remove difficulties.,h2,17,ERA,Auto-extracted: ERA Section 17,,,,
ERA_18,Section,"Repeal and saving. 
 
An act to provide for the payment of equal remuneration to men and women 
workers and for the prevention of discrimination, on the ground of sex, against 
women in the matter of employment and for matters connected therewith or 
incidental thereto 
 
Be it enacted by Parliament in the Twenty-seventh Year of the Republic of India as 
follow: - 
 
2
 
Prefatory Note – Statement of Objects and Reasons. – Article 39 of Constitution 
envisages that the State shall direct its policy, among other things, towards securing that 
there is equal pay for equal work for both men and women. To give effect to this 
constitutional provision, the President promulgated on the 26th. September, 1975, the 
Equal Remuneration Ordinance, 1975 so that the provisions of Article 39 of the 
Constitution may be implemented in the year which is being celebrated as the 
International Women’s Year. The Ordinance provides for payment of equal remuneration 
to men and women workers for the same work or work of similar nature and for the 
prevention of discrimination on grounds of sex. 
 
(2) The Ordinance also ensures that there will be no discrimination against recruitment of 
women and provides for the setting up of Advisory committees to promote employment 
opportunities for women. 
 
(3) The Bill seeks to replace the Ordinance.1 
 
 
CHAPTER – I 
 
PRELIMINARY",h2,18,ERA,Auto-extracted: ERA Section 18,,,,
CLA_10,Section,"Prohibition of employment of contract labour. 
CHAPTER IV 
LICENSING OF CONTRACTORS",h2,10,CLA,Prohibition of employment of contract labour,,,,
Contract Labour Act 1970,Act,,h2,,,,,,,
contract_labour,Concept,,,,,,,,,
EPF_6,Section,Contributions and matters which may be provided for in Schemes.,h2,6,EPF,Contributions and matters which may be provided for in schemes,,,,
Employees Provident Fund Act 1952,Act,,h2,,,,,,,
provident_fund,Concept,,,,,,,,,
EPF_7D,Section,Employees‟ Provident Funds Appellate Tribunal.,h2,7D,EPF,Auto-extracted: Employees Provident Fund Act 1952 Section 7D,,,,
EPF_12,Section,"Employer not to reduce wages, etc.",h2,12,EPF,Auto-extracted: Employees Provident Fund Act 1952 Section 12,,,,
ECA_3,Section,Employer’s liability for compensation.,h2,3,ECA,Auto-extracted: ECA Section 3,,,,
ECA,Act,,h2,,,,,,,
FA_27,Section,Prohibition of employment of women and children near cotton-openers.,h2,27,FA,Auto-extracted: Factories Act 1948 Section 27,,,,
Factories Act 1948,Act,,h2,,,,,,,
FA_59,Section,Extra wages for overtime.,h2,59,FA,Extra wages for overtime,,,,
FA_79,Section,Annual leave with wages.,h2,79,FA,Annual leave with wages,,,,
ESI_1,Section,"Short title, extent, commencement and application.",h2,1,ESI,Auto-extracted: Employees State Insurance Act 1948 Section 1,,,,
Employees State Insurance Act 1948,Act,,h2,,,,,,,
ESI_2,Section,Definitions.,h2,2,ESI,"Definitions — employee, wages, insurable employment",,,,
esi,Concept,,,,,,,,,
