node_id,type,label,source_graph,level,original_id,text,number,act,desc,query_text,informative_answer,actionable_answer,readable_answer
"PC::Section 5(1)(d) and Section 5(2) of the Prevention of Corruption Act, 1947",LegalProvision,"Section 5(1)(d) and Section 5(2) of the Prevention of Corruption Act, 1947",PC_Criminal,pc,"Section 5(1)(d) and Section 5(2) of the Prevention of Corruption Act, 1947",,,,,,,,
PC::Height Selection Criteria Disputed,CaseFact,Height Selection Criteria Disputed,PC_Criminal,pc,Height Selection Criteria Disputed,,,,,,,,
PC::Candidates Dismissed for Height Manipulation,CaseFact,Candidates Dismissed for Height Manipulation,PC_Criminal,pc,Candidates Dismissed for Height Manipulation,,,,,,,,
PC::Termination Considered Harsh After Four Years of Service,CaseFact,Termination Considered Harsh After Four Years of Service,PC_Criminal,pc,Termination Considered Harsh After Four Years of Service,,,,,,,,
"PC::Bihar Police Act, 2007",LegalProvision,"Bihar Police Act, 2007",PC_Criminal,pc,"Bihar Police Act, 2007",,,,,,,,
PC::Revised Rules for Selection Introduced,LegalProvision,Revised Rules for Selection Introduced,PC_Criminal,pc,Revised Rules for Selection Introduced,,,,,,,,
PC::Allegation of Manipulation Duly Enquired,CaseFact,Allegation of Manipulation Duly Enquired,PC_Criminal,pc,Allegation of Manipulation Duly Enquired,,,,,,,,
"PC::Bihar Police Manual, 1978",CaseFact,"Bihar Police Manual, 1978",PC_Criminal,pc,"Bihar Police Manual, 1978",,,,,,,,
PC::Lease Renewal Option Not Exercised,CaseFact,Lease Renewal Option Not Exercised,PC_Criminal,pc,Lease Renewal Option Not Exercised,,,,,,,,
PC::High Court Reversed Trial Court Finding,CaseFact,High Court Reversed Trial Court Finding,PC_Criminal,pc,High Court Reversed Trial Court Finding,,,,,,,,
PC::Act LVII of 1947 Applicable to Pending Appeals,LegalProvision,Act LVII of 1947 Applicable to Pending Appeals,PC_Criminal,pc,Act LVII of 1947 Applicable to Pending Appeals,,,,,,,,
PC::Ejectment Decree Set Aside Due to Changed Law,CaseFact,Ejectment Decree Set Aside Due to Changed Law,PC_Criminal,pc,Ejectment Decree Set Aside Due to Changed Law,,,,,,,,
PC::Section 50 of Act LVII of 1947,LegalProvision,Section 50 of Act LVII of 1947,PC_Criminal,pc,Section 50 of Act LVII of 1947,,,,,,,,
PC::Acquittal of Appellants Challenged,CaseFact,Acquittal of Appellants Challenged,PC_Criminal,pc,Acquittal of Appellants Challenged,,,,,,,,
PC::Prosecution Evidence Discredited,CaseFact,Prosecution Evidence Discredited,PC_Criminal,pc,Prosecution Evidence Discredited,,,,,,,,
PC::High Court Found Acquittal Perverse,CaseFact,High Court Found Acquittal Perverse,PC_Criminal,pc,High Court Found Acquittal Perverse,,,,,,,,
PC::Prosecution Failed to Prove Case Beyond Doubt,CaseFact,Prosecution Failed to Prove Case Beyond Doubt,PC_Criminal,pc,Prosecution Failed to Prove Case Beyond Doubt,,,,,,,,
PC::Section 439 of the Criminal Procedure Code,LegalProvision,Section 439 of the Criminal Procedure Code,PC_Criminal,pc,Section 439 of the Criminal Procedure Code,,,,,,,,
PC::Section 417 of the Criminal Procedure Code,LegalProvision,Section 417 of the Criminal Procedure Code,PC_Criminal,pc,Section 417 of the Criminal Procedure Code,,,,,,,,
PC::Lease Validity Disputed,CaseFact,Lease Validity Disputed,PC_Criminal,pc,Lease Validity Disputed,,,,,,,,
PC::Subletting Allegation Made,CaseFact,Subletting Allegation Made,PC_Criminal,pc,Subletting Allegation Made,,,,,,,,
PC::Damages to Property Claimed,CaseFact,Damages to Property Claimed,PC_Criminal,pc,Damages to Property Claimed,,,,,,,,
PC::Possession Not Delivered After Lease Termination,CaseFact,Possession Not Delivered After Lease Termination,PC_Criminal,pc,Possession Not Delivered After Lease Termination,,,,,,,,
PC::Trial Court Found No Damage,CaseFact,Trial Court Found No Damage,PC_Criminal,pc,Trial Court Found No Damage,,,,,,,,
PC::High Court Dismissed Appeal,CaseFact,High Court Dismissed Appeal,PC_Criminal,pc,High Court Dismissed Appeal,,,,,,,,
PC::High Court Allowed Cross-objection in Part,CaseFact,High Court Allowed Cross-objection in Part,PC_Criminal,pc,High Court Allowed Cross-objection in Part,,,,,,,,
PC::Payment of Rent Accepted,CaseFact,Payment of Rent Accepted,PC_Criminal,pc,Payment of Rent Accepted,,,,,,,,
PC::No Holding Over Established,CaseFact,No Holding Over Established,PC_Criminal,pc,No Holding Over Established,,,,,,,,
PC::Injunction Prayer Denied,CaseFact,Injunction Prayer Denied,PC_Criminal,pc,Injunction Prayer Denied,,,,,,,,
PC::Suit Filed for Reopening Transactions,CaseFact,Suit Filed for Reopening Transactions,PC_Criminal,pc,Suit Filed for Reopening Transactions,,,,,,,,
PC::Appellants Sought Relief Under Section 36,LegalProvision,Appellants Sought Relief Under Section 36,PC_Criminal,pc,Appellants Sought Relief Under Section 36,,,,,,,,
PC::Decrees in Previous Suit Not Reopened,CaseFact,Decrees in Previous Suit Not Reopened,PC_Criminal,pc,Decrees in Previous Suit Not Reopened,,,,,,,,
"PC::Section 36 of the Bengal Money Lenders Act, 1940",LegalProvision,"Section 36 of the Bengal Money Lenders Act, 1940",PC_Criminal,pc,"Section 36 of the Bengal Money Lenders Act, 1940",,,,,,,,
PC::Execution Case Dismissed for Non-prosecution,CaseFact,Execution Case Dismissed for Non-prosecution,PC_Criminal,pc,Execution Case Dismissed for Non-prosecution,,,,,,,,
PC::Attachment of Properties Continued by Court Order,LegalProvision,Attachment of Properties Continued by Court Order,PC_Criminal,pc,Attachment of Properties Continued by Court Order,,,,,,,,
PC::Excess Profits Tax Dispute,CaseFact,Excess Profits Tax Dispute,PC_Criminal,pc,Excess Profits Tax Dispute,,,,,,,,
PC::Dyeing Plant Let Out During Idle Period,CaseFact,Dyeing Plant Let Out During Idle Period,PC_Criminal,pc,Dyeing Plant Let Out During Idle Period,,,,,,,,
PC::Income from Letting Not Considered Business Income,CaseFact,Income from Letting Not Considered Business Income,PC_Criminal,pc,Income from Letting Not Considered Business Income,,,,,,,,
PC::Commercial Asset Definition Clarified,CaseFact,Commercial Asset Definition Clarified,PC_Criminal,pc,Commercial Asset Definition Clarified,,,,,,,,
PC::High Court Decision Reversed,CaseFact,High Court Decision Reversed,PC_Criminal,pc,High Court Decision Reversed,,,,,,,,
PC::Section 2(5) of the Excess Profits Tax Act,LegalProvision,Section 2(5) of the Excess Profits Tax Act,PC_Criminal,pc,Section 2(5) of the Excess Profits Tax Act,,,,,,,,
PC::Section 12 of the Indian Income-tax Act,LegalProvision,Section 12 of the Indian Income-tax Act,PC_Criminal,pc,Section 12 of the Indian Income-tax Act,,,,,,,,
PC::Section 10 of the Indian Income-tax Act,LegalProvision,Section 10 of the Indian Income-tax Act,PC_Criminal,pc,Section 10 of the Indian Income-tax Act,,,,,,,,
PC::Section 9 of the Indian Income-tax Act,LegalProvision,Section 9 of the Indian Income-tax Act,PC_Criminal,pc,Section 9 of the Indian Income-tax Act,,,,,,,,
PC::Breach of Contract Alleged,LegalProvision,Breach of Contract Alleged,PC_Criminal,pc,Breach of Contract Alleged,,,,,,,,
PC::Settlement Agreement Reached,CaseFact,Settlement Agreement Reached,PC_Criminal,pc,Settlement Agreement Reached,,,,,,,,
PC::Performance of Contract Disputed,LegalProvision,Performance of Contract Disputed,PC_Criminal,pc,Performance of Contract Disputed,,,,,,,,
PC::Doctrine of Frustration Invoked,CaseFact,Doctrine of Frustration Invoked,PC_Criminal,pc,Doctrine of Frustration Invoked,,,,,,,,
PC::Trial Court Found in Favor of Appellant,CaseFact,Trial Court Found in Favor of Appellant,PC_Criminal,pc,Trial Court Found in Favor of Appellant,,,,,,,,
PC::High Court Reversed Trial Court Decision,CaseFact,High Court Reversed Trial Court Decision,PC_Criminal,pc,High Court Reversed Trial Court Decision,,,,,,,,
"PC::Section 32 of the Indian Contract Act, 1872",LegalProvision,"Section 32 of the Indian Contract Act, 1872",PC_Criminal,pc,"Section 32 of the Indian Contract Act, 1872",,,,,,,,
"PC::Section 56 of the Indian Contract Act, 1872",LegalProvision,"Section 56 of the Indian Contract Act, 1872",PC_Criminal,pc,"Section 56 of the Indian Contract Act, 1872",,,,,,,,
PC::Interest Paid on Debentures Disputed,CaseFact,Interest Paid on Debentures Disputed,PC_Criminal,pc,Interest Paid on Debentures Disputed,,,,,,,,
PC::Transaction Aimed to Facilitate Business,CaseFact,Transaction Aimed to Facilitate Business,PC_Criminal,pc,Transaction Aimed to Facilitate Business,,,,,,,,
"PC::Section 12(2) of the Income-tax Act, 1922",LegalProvision,"Section 12(2) of the Income-tax Act, 1922",PC_Criminal,pc,"Section 12(2) of the Income-tax Act, 1922",,,,,,,,
PC::Petitioner Challenged Unlawful Detention,CaseFact,Petitioner Challenged Unlawful Detention,PC_Criminal,pc,Petitioner Challenged Unlawful Detention,,,,,,,,
PC::Fresh Detention Order Issued,LegalProvision,Fresh Detention Order Issued,PC_Criminal,pc,Fresh Detention Order Issued,,,,,,,,
PC::Detention Period Fixed Until Expiry of Act,LegalProvision,Detention Period Fixed Until Expiry of Act,PC_Criminal,pc,Detention Period Fixed Until Expiry of Act,,,,,,,,
"PC::Section 3(1) of the Preventive Detention Act, 1950",LegalProvision,"Section 3(1) of the Preventive Detention Act, 1950",PC_Criminal,pc,"Section 3(1) of the Preventive Detention Act, 1950",,,,,,,,
"PC::Section 9 of the Preventive Detention Act, 1950",LegalProvision,"Section 9 of the Preventive Detention Act, 1950",PC_Criminal,pc,"Section 9 of the Preventive Detention Act, 1950",,,,,,,,
"PC::Section 11 of the Preventive Detention Act, 1950",LegalProvision,"Section 11 of the Preventive Detention Act, 1950",PC_Criminal,pc,"Section 11 of the Preventive Detention Act, 1950",,,,,,,,
PC::Petitioner Claims Fundamental Right to Property,CaseFact,Petitioner Claims Fundamental Right to Property,PC_Criminal,pc,Petitioner Claims Fundamental Right to Property,,,,,,,,
PC::Madhya Pradesh Act I of 1951 Enacted,LegalProvision,Madhya Pradesh Act I of 1951 Enacted,PC_Criminal,pc,Madhya Pradesh Act I of 1951 Enacted,,,,,,,,
PC::Petitioner Challenges Constitutionality of Act,LegalProvision,Petitioner Challenges Constitutionality of Act,PC_Criminal,pc,Petitioner Challenges Constitutionality of Act,,,,,,,,
PC::Bill Passed Without Recorded Opposition,CaseFact,Bill Passed Without Recorded Opposition,PC_Criminal,pc,Bill Passed Without Recorded Opposition,,,,,,,,
PC::Compensation Amount Considered Nominal,CaseFact,Compensation Amount Considered Nominal,PC_Criminal,pc,Compensation Amount Considered Nominal,,,,,,,,
PC::Plaintiff Claims Sole Saranjamdar Status,CaseFact,Plaintiff Claims Sole Saranjamdar Status,PC_Criminal,pc,Plaintiff Claims Sole Saranjamdar Status,,,,,,,,
PC::Dispute Over Saranjam Estate Succession,CaseFact,Dispute Over Saranjam Estate Succession,PC_Criminal,pc,Dispute Over Saranjam Estate Succession,,,,,,,,
PC::Government Resolution on Saranjam Resumption Challenged,CaseFact,Government Resolution on Saranjam Resumption Challenged,PC_Criminal,pc,Government Resolution on Saranjam Resumption Challenged,,,,,,,,
PC::Claim Against Government Considered as Claim Against Crown,CaseFact,Claim Against Government Considered as Claim Against Crown,PC_Criminal,pc,Claim Against Government Considered as Claim Against Crown,,,,,,,,
PC::Reliefs Sought Relate to Lands Held as Saranjam,CaseFact,Reliefs Sought Relate to Lands Held as Saranjam,PC_Criminal,pc,Reliefs Sought Relate to Lands Held as Saranjam,,,,,,,,
PC::Previous Court Decisions Operate as Res Judicata,CaseFact,Previous Court Decisions Operate as Res Judicata,PC_Criminal,pc,Previous Court Decisions Operate as Res Judicata,,,,,,,,
"PC::Section 4(a) of the Bombay Revenue Jurisdiction Act, 1876",LegalProvision,"Section 4(a) of the Bombay Revenue Jurisdiction Act, 1876",PC_Criminal,pc,"Section 4(a) of the Bombay Revenue Jurisdiction Act, 1876",,,,,,,,
PC::Firm Entitled to Commission,CaseFact,Firm Entitled to Commission,PC_Criminal,pc,Firm Entitled to Commission,,,,,,,,
PC::Income Tax Officer Treated Amount as Taxable,CaseFact,Income Tax Officer Treated Amount as Taxable,PC_Criminal,pc,Income Tax Officer Treated Amount as Taxable,,,,,,,,
PC::Income from Indian States Included in Profit,CaseFact,Income from Indian States Included in Profit,PC_Criminal,pc,Income from Indian States Included in Profit,,,,,,,,
PC::Exemption Claim for Commission Disputed,CaseFact,Exemption Claim for Commission Disputed,PC_Criminal,pc,Exemption Claim for Commission Disputed,,,,,,,,
PC::Managing Agency Agreement Considered,CaseFact,Managing Agency Agreement Considered,PC_Criminal,pc,Managing Agency Agreement Considered,,,,,,,,
PC::Section 4 of the Income-tax Act,LegalProvision,Section 4 of the Income-tax Act,PC_Criminal,pc,Section 4 of the Income-tax Act,,,,,,,,
PC::Section 5 of the Income-tax Act,LegalProvision,Section 5 of the Income-tax Act,PC_Criminal,pc,Section 5 of the Income-tax Act,,,,,,,,
PC::Dispute Over Excess Profits Tax Assessment,CaseFact,Dispute Over Excess Profits Tax Assessment,PC_Criminal,pc,Dispute Over Excess Profits Tax Assessment,,,,,,,,
PC::Managing Agency Commission Considered a Debt,CaseFact,Managing Agency Commission Considered a Debt,PC_Criminal,pc,Managing Agency Commission Considered a Debt,,,,,,,,
"PC::Rule 5 of Schedule II of the Excess Profits Tax Act, 1940",LegalProvision,"Rule 5 of Schedule II of the Excess Profits Tax Act, 1940",PC_Criminal,pc,"Rule 5 of Schedule II of the Excess Profits Tax Act, 1940",,,,,,,,
"PC::Rule 2 of Schedule II of the Excess Profits Tax Act, 1940",LegalProvision,"Rule 2 of Schedule II of the Excess Profits Tax Act, 1940",PC_Criminal,pc,"Rule 2 of Schedule II of the Excess Profits Tax Act, 1940",,,,,,,,
PC::Appeal Filed Against Sales Tax Assessment,CaseFact,Appeal Filed Against Sales Tax Assessment,PC_Criminal,pc,Appeal Filed Against Sales Tax Assessment,,,,,,,,
PC::Amendment to Section 22 Affects Right of Appeal,LegalProvision,Amendment to Section 22 Affects Right of Appeal,PC_Criminal,pc,Amendment to Section 22 Affects Right of Appeal,,,,,,,,
PC::Right of Appeal Considered Substantive,CaseFact,Right of Appeal Considered Substantive,PC_Criminal,pc,Right of Appeal Considered Substantive,,,,,,,,
PC::Old Law Governs Pre-existing Right of Appeal,CaseFact,Old Law Governs Pre-existing Right of Appeal,PC_Criminal,pc,Old Law Governs Pre-existing Right of Appeal,,,,,,,,
PC::Bombay Sales Tax Act Declared Ultra Vires,LegalProvision,Bombay Sales Tax Act Declared Ultra Vires,PC_Criminal,pc,Bombay Sales Tax Act Declared Ultra Vires,,,,,,,,
PC::Writ of Mandamus Issued Against State,CaseFact,Writ of Mandamus Issued Against State,PC_Criminal,pc,Writ of Mandamus Issued Against State,,,,,,,,
PC::Fundamental Rights Allegation Considered,CaseFact,Fundamental Rights Allegation Considered,PC_Criminal,pc,Fundamental Rights Allegation Considered,,,,,,,,
PC::Definition of Sale Found Overly Broad,CaseFact,Definition of Sale Found Overly Broad,PC_Criminal,pc,Definition of Sale Found Overly Broad,,,,,,,,
PC::Article 286 of the Constitution of India,LegalProvision,Article 286 of the Constitution of India,PC_Criminal,pc,Article 286 of the Constitution of India,,,,,,,,
PC::Tax Imposed on Exempted Sales,CaseFact,Tax Imposed on Exempted Sales,PC_Criminal,pc,Tax Imposed on Exempted Sales,,,,,,,,
PC::Article 19(1)(g) of the Constitution of India,LegalProvision,Article 19(1)(g) of the Constitution of India,PC_Criminal,pc,Article 19(1)(g) of the Constitution of India,,,,,,,,
PC::Detention of Petitioners Challenged,CaseFact,Detention of Petitioners Challenged,PC_Criminal,pc,Detention of Petitioners Challenged,,,,,,,,
PC::Remand Order Expired,LegalProvision,Remand Order Expired,PC_Criminal,pc,Remand Order Expired,,,,,,,,
PC::No Valid Remand Order on 10th March,LegalProvision,No Valid Remand Order on 10th March,PC_Criminal,pc,No Valid Remand Order on 10th March,,,,,,,,
PC::Legality of Detention Considered,CaseFact,Legality of Detention Considered,PC_Criminal,pc,Legality of Detention Considered,,,,,,,,
PC::Withdrawal of Assets from Business,CaseFact,Withdrawal of Assets from Business,PC_Criminal,pc,Withdrawal of Assets from Business,,,,,,,,
PC::No Income Arising from Asset Transfer,CaseFact,No Income Arising from Asset Transfer,PC_Criminal,pc,No Income Arising from Asset Transfer,,,,,,,,
PC::Appellant Maintained Cost Price Accounting,CaseFact,Appellant Maintained Cost Price Accounting,PC_Criminal,pc,Appellant Maintained Cost Price Accounting,,,,,,,,
PC::Income-tax Act prohibits taxation of potential future advantage,LegalProvision,Income-tax Act prohibits taxation of potential future advantage,PC_Criminal,pc,Income-tax Act prohibits taxation of potential future advantage,,,,,,,,
PC::Jurisdiction of Income-tax Officer Challenged,CaseFact,Jurisdiction of Income-tax Officer Challenged,PC_Criminal,pc,Jurisdiction of Income-tax Officer Challenged,,,,,,,,
PC::Assessment Prior to Constitution Questioned,CaseFact,Assessment Prior to Constitution Questioned,PC_Criminal,pc,Assessment Prior to Constitution Questioned,,,,,,,,
PC::Proviso to Section 13 of Indian Finance Act Discussed,LegalProvision,Proviso to Section 13 of Indian Finance Act Discussed,PC_Criminal,pc,Proviso to Section 13 of Indian Finance Act Discussed,,,,,,,,
PC::Retrospective Operation of Law Contested,CaseFact,Retrospective Operation of Law Contested,PC_Criminal,pc,Retrospective Operation of Law Contested,,,,,,,,
PC::Article 277 of Constitution Considered,LegalProvision,Article 277 of Constitution Considered,PC_Criminal,pc,Article 277 of Constitution Considered,,,,,,,,
"PC::Section 13 of the Indian Finance Act, 1950",LegalProvision,"Section 13 of the Indian Finance Act, 1950",PC_Criminal,pc,"Section 13 of the Indian Finance Act, 1950",,,,,,,,
PC::Article 226 of the Constitution of India,LegalProvision,Article 226 of the Constitution of India,PC_Criminal,pc,Article 226 of the Constitution of India,,,,,,,,
PC::Hindu Undivided Family Conducted Business,CaseFact,Hindu Undivided Family Conducted Business,PC_Criminal,pc,Hindu Undivided Family Conducted Business,,,,,,,,
PC::Assessment Year in Question 1943-44,CaseFact,Assessment Year in Question 1943-44,PC_Criminal,pc,Assessment Year in Question 1943-44,,,,,,,,
PC::Mysore Branch Purchased Goods from Bombay and Madras,CaseFact,Mysore Branch Purchased Goods from Bombay and Madras,PC_Criminal,pc,Mysore Branch Purchased Goods from Bombay and Madras,,,,,,,,
PC::Income-tax Officer Estimated Profits from Sales,CaseFact,Income-tax Officer Estimated Profits from Sales,PC_Criminal,pc,Income-tax Officer Estimated Profits from Sales,,,,,,,,
PC::Section 42 of Income-tax Act Discussed,LegalProvision,Section 42 of Income-tax Act Discussed,PC_Criminal,pc,Section 42 of Income-tax Act Discussed,,,,,,,,
PC::High Court Answered Question in Negative,CaseFact,High Court Answered Question in Negative,PC_Criminal,pc,High Court Answered Question in Negative,,,,,,,,
