question,answer
"Is a temporary handicapped candidate can get promotion in postman exam in odisha( Baleswar, Orissa )","Dear Sir,Normally, such certificate may not be considered for promotion in any department. However, you may check the circulars and service rules available for postal department employees and if there is any circular and promotion is not given then approach High Court."
"My higher education is in 2 months but my Notice period is of 3 months. In my offer letter they have not mentioned anything related to buyout of notice period. What should i do?( Thane, Maharashtra )","Dear Client,In the absence of any condition specifying the buyout of the unserved notice period in the offer letter, showing your urgency, you may request the HR Head of the company for early release, offering the buyout of the unserved notice period post resignation, but it solely depends upon the Company's policy and discretion of the management. In case the management regrets your request, then there is no option left to you save and except to leave the company without serving the notice period or to serve the notice period based on the importance and gravity of your exigency. You have to decide your the option that suits and protects your interests most."
"Can a temporary pwbd locomotor disability certificate of 60% disable avail a railway job after selection( Howrah, West Bengal )","Dear Client,The Rights of Persons with Disabilities (RPwD) Act was enacted in the year 2016 and came into force on 19th April 2017. Individuals having 40% or more disability can apply for a disability certificate, provided their disability falls under the categories specified under the Rights of Persons with Disabilities Act, 2016. The issue of a Unique Disability Identity(UDID) card to a PWD is an initiative by the Government of India to create a National Database for Persons with Disabilities (PwDs). The UDID card and Disability Certificate have two types of validity: Permanent UDID card and Temporary UDID Card. Permanent UDID: The competent medical authority issues a Permanent UDID Card, considering there is no progress or regression in the disability of a PwD. Temporary UDID: The competent medical authority issues a Temporary UDID Card considering there is progress or a regression in the disability of a PwD. A disability certificate remains valid for lifelong in case of a permanent disability. However, for temporary disabilities, the certificate/ID card remains valid for five years. It has to be renewed once in five years, subject to the medical examination of the disabled person. So, regardless of the nature and class of PWD and UDID Certificate, a candidate having 40% or more disability can apply for government jobs under the reservation of PWD quota during the period of validity of the UDID Certificate. In case of dispute, you can escalate your grievance before the Ministry of Personnel, P.G.& Pensions, Department of Personnel & Training(DOPT) and the Ministry of Social Justice & Empowerment (Disabilities Div.) for a resolution in the matter."
"My company is not giving my FNF amount as it's not 4 months( Faridabad, Haryana )","Dear Client.Your query suffers from a lack of information and transparency to respond. Regardless of reasons, on cessation of employment either by resignation or retirement, an employee is entitled to an experience certificate, relieving letter and F & F settlement dues from the employer within 30 days of the last working days (LWD) post-completion of the notice period and denial of which amounted to unfair labour practices. So, in the prevailing situation, if you are not holding a position of manager or supervisor in the Company, but a workman as defined under Sec.2(s) of the Industrial Dispute Act, 1947. serving a legal notice to the Company reach out to the office of the concerned Labour Commissioner to file a complaint against the company over alleged unfair labour practice for redressal of your grievance and additionally, you can file an application under Section 33C(2) of the I D Act before the Labour Court concerned claiming your F & F Settlement dues receivable to you post-resignation from the employer/Company along with interest. If required, hire the services of an Advocate experienced in service matters to navigate the issue in the right way. But, if you are holding the position of Manager or Administrator in the Company, you have to file a civil suit against the Company before the Civil Court seeking the desired relief in the matter."
"I was employed at Wipro Limited from 21st April 2023 to 26th September 2023. I went on unauthorized leave starting 21st August 2023 and did not serve the notice period. As a result, my employment was terminated by the company effective 26th September 2023.

Today, i.e., 15th May 2025, I received a legal notice from KKDN Law Firm on behalf of Wipro Limited, stating that I am liable to pay a sum of â¹6788 along with 12% per annum interest, due to non-fulfillment of the notice period clause as per the terms of my appointment.

Key Points of the Notice :

1. Sender & Authority:
The notice is from KKDN Law Firm, Bengaluru, acting on instructions from Wipro Limited.

2. Reason for Notice:
   I am alleged to owe Wipro â¹6788, a sum claimed to have remained unpaid since the end of my employment on 25th September 2023. It appears related to money paid to me during my tenure that Wipro believes should be returned under their internal policies.

3. Interest Clause:
The letter claims I am liable to pay 12% interest per annum on the outstanding amount from the end of my employment until full payment is made.

4. Legal Warning:
If I fail to make the payment within 10 days of receiving the notice, they state Wipro may initiate legal action (civil and criminal) against me.
What can be the possible next step?( Kolkata, West Bengal )","Dear Client,An employer can take disciplinary as well as legal action against an errant and unruly employee for breach of contract or proven misconduct. However, the actions of the management can be challenged based on Section 27 of the Indian Contract Act,1872, which prohibits any agreement in restraint of trade and profession. As per the mandate of Section 27 of the Indian Contract Act,1872, any terms and conditions of an agreement that directly or indirectly compel the employee to serve the employer or restrict them from joining a competitor or other employer are not valid. The employee has the right to resign from employment even if he has agreed to the employment bond to serve the employer for a specific period. In the case where the employer can prove that the employee is joining the competitor to disclose the trade secret, then the court may issue an injunction order restricting the employee from joining the competitor. Further, Section 73 of the Act makes provision for unliquidated damages (not stipulated in a contract), Section 74 deals with liquidated damages (stipulated in a contract), and no compensation is attracted for mere breach of contract u/s.73. Section 74 of the Act unless such breach resulted in an actual loss or damage to the opposite party employer. So, in the prevailing situation, if you are not holding a position of manager or supervisor in the Company, but a workman as defined under Sec.2(s) of the Industrial Dispute Act, 1947. Serving a legal notice to the Company, reach out to the office of the concerned Labour Commissioner or the office of the Chief Inspector, Shops and Establishments, as the case may be, to file a complaint against the company over alleged unfair labour practice for redressal of your grievance. But, if you are holding the position of Manager or Administrator in the Company, you have to file a civil suit against the Company before the Civil Court seeking appropriate relief in the matter. When you are an employee of the IT Company then be informed that to restrict IT Companies from exploiting their employees by playing double standards, the Division Bench of the Karnataka High Court in the case of Commissioner of Income Tax v. Texas Instruments India Pvt Ltd (2021) 435 ITR unambiguously held that the IT sector employees considered to be ""workmen"" under Section 2(s) of the Industrial Dispute Act, 1947. If required, consult with an Advocate experienced in service matters for tailored advice and actions to navigate the issue in the right way."
"My father was a DSCSC govt. employee in Delhi..died in April 2025 due to health problems at the age of 59, 18 months before retirement.
In our family, my mother, 3 sisters and me(son) live in a small owned flat, 2 big sisters are married, mother is a housewife and a sugar patient. My small sister is also suffering from illness as she have hole in her heart. My age is 28 and am unemployed, no regular source of income to handle household expenses and supplies.

What should i do , what is the process? Any help will be appreciated. Thank You( Central Delhi, Delhi )","Dear Client,The objective of the Scheme is to grant appointment on compassionate grounds to a dependent family member of a Government servant who has died while in service, or who is retired on medical grounds before attaining the age of 55 years (57 years for erstwhile Group âDâ employees). thereby leaving the family in penury and without any means of sustainable livelihood, so as to provide relief to the family of the Government servant concerned with financial destitution and to help it get over the emergency. Compassionate appointment is not a vested right or an alternate mode of employment. It is considered and granted strictly following the relevant rules and the scheme. The appointments on compassionate grounds were issued under the Department of Personnel & Training vide O.M. No.14014/02/2012-Estt(D) dated 16.01.2013, and are available on the Department's website. Under the Compassionate Appointments Scheme, employment is offered to any one of the legal heirs of the deceased Public Servant that including Wife, Husband, Son, Daughter, Divorcee, Widowed daughter if qualified for the same in terms of the rules of compassionate appointment. The eligibility for an appointment under the Scheme for Compassionate Appointment is updated on 02/08/2022 by the Department of Personnel and Training(DOPT), Ministry of Personnel, Public Grievance and Pension, Govt. of India, wherein the scope and eligibility for employment under the compassionate appointment scheme are explained in detail. The following factors are taken into consideration for making compassionate appointments: a) The family is indigent and deserves immediate assistance for relief from financial destitution; and b) the Applicant for a compassionate appointment should be eligible and suitable for the post in all respects under the provisions of the relevant Recruitment Rules. The onus for examining the penurious condition of the dependent family members rests with the authority making a compassionate appointment. Courts have clearly stated in various judgments that offering a compassionate appointment as a matter of course, irrespective of the financial condition of the family of the deceased or medically retired Government servant, is untenable. You can go through the complete details and application procedures under the Scheme on Compassionate Appointment on the official website of the DOPT and apply to the concerned authority, DSCSC, and accordingly, apply to the concerned department/authority. seeking an appointment on compassionate grounds."
"I would like to know, if a person works in a full time in an IT organisation and do part time in an private insurance firm, will it be considered a dual employment and also would like to add, the private insurance firm will not pay any salary and only commission is paid, will it be considered as a dual employment?( Kolkata, West Bengal )","Dear Client,There is no overarching law that prohibits a person from doing multiple jobs, provided an offer or appointment letter specifically does not restrict an employee from such multiple engagement while engaged with one. Typically, dual employment occurs when an employee joins another establishment without serving the notice period in compliance with the terms of employment or obtaining a relieving letter from the earlier establishment post-resignation. Commission is neither a component of salary nor is it qualified for deduction of PF contribution as clarified under Section 6 of the EPF & MP Act, 1952, and accordingly, your EPF record will not show dual employment. So, you can continue with your part-time job along with your full-time job at an IT Company, provided your contract of employment specifically does not restrict your engagement in other/part-time jobs even after office/duty hours."
"I had a service agreement for 3 years in a private limited company. I worked for 2.5 years including 3 month notice period which I served  before resignation. My query is that can management hold my relieving letter or ask for compensation since I served notice period. I just want my relieving letter and not my experience letter.( Ernakulam, Kerala )","Dear Client,Regardless of reasons, on cessation of employment, an employee is entitled to an experience certificate, relieving letter and F & F settlement dues from the employer within 30 days of the last working days (LWD) post-completion of the notice period and denial of which amounted to victimization and unfair labour practices on the part of the employer as defined under Section 2(47) of the Industrial Disputes Act, 1947. As per the mandate of Section 27 of the Indian Contract Act,1872, any terms and conditions of an agreement that directly or indirectly compel the employee to serve the employer or put a restriction on them joining the competitor or other employer are not valid. The employee has the right to resign from employment even if he has agreed to the employment bond to serve the employer for a specific period. In the case where the employer can prove that the employee is joining the competitor to disclose the trade secret, then the court may issue an injunction order restricting the employee from joining the competitor. Further, Section 73 of the Act makes provision for unliquidated damages (not stipulated in a contract), Section 74 deals with liquidated damages (stipulated in a contract), and no compensation is attracted for mere breach of contract under Section 73. Section 74 of the Act, unless such breach resulted in an actual loss or damage to the opposite party employer. So, in the prevailing situation, if you are not holding a position of manager or supervisor in the Company, but a workman as defined under Sec.2(s) of the Industrial Dispute Act, 1947. serving a legal notice to the Company reach out to the office of the concerned Labour Commissioner or the office of the Chief Inspector, Shops and Establishments, as the case may be, to file a complaint against the company over alleged unfair labour practice for redressal of your grievance, Apart from this, you can file an application under Sec.33C(2) of the Industrial Disputes Act, 1947 before the State Labour Court claiming your dues from the Company. But, if you are holding the position of Manager or Administrator in the Company, you have to file a civil suit against the Company before the Civil Court seeking appropriate relief in the matter. If you are an employee of the IT Company then be informed that to restrict IT Companies from exploiting their employees by playing double standards, the Division Bench of the Karnataka High Court in the case of Commissioner of Income Tax v. Texas Instruments India Pvt Ltd (2021) 435 ITR unambiguously held that the IT sector employees considered to be ""workmen"" under Section 2(s) of the Industrial Dispute Act, 1947. Further, the Hon'ble Bombay High Court in the case of Godrej and Boyce Manufacturing Company Ltd. v. Shivkranti Kamgar Sanghatana, 2024 SCC OnLine Bom 938, decided on 28-03-2024 ruled out that the nature of duties and functions is the determining factor in ascertaining âworkmanâ under S. 2(s) of Industrial Disputes Act, 1947. If required, consult or hire an Advocate experienced in service matters to navigate the issue in the right way."
"Employment bond enforced without taking into consideration the actual expenses. I joined a PSU bank in 2018, left due to location issues ( had a small kid). They pursued the employment bond in court and somehow won the decree against me, asking me to pay the complete bond amount plus interest. I did not take any specialized  training. The working conditions were also not favourable. I don't need the experience certificate as well. It is unfair on the courts part to provide them with complete bond amount when they haven't spend the amount.( Bangalore, Karnataka )","Dear Sir,You cannot comment on the judgments of Civil Courts. However, you should have contested the case and even then if your defence is rejected then you have an option to approach Higher Court and see that the observations made by Lower Court are rejected and decree passed by the Lower Court may be reversed."
"I have served by 30 days notice and have intimated the company in writing via email , the company did not respond anything so it was deemed to have been accepted. Now the company is saying i cant leave till a replacement is not found and till the CEO approves my request. My contract has no such clause in it. There was no job offer letter also given . Now the company refuses to pay my salary as well. What do i do ?( Pune, Maharashtra )","Dear Client,In the absence of an offer or appointment letter, there exists neither any relationship nor any obligation between an employee and an employer. It is ridiculous to see how you resume a company and tender your resignation in the absence of an offer letter that governs the relationship between both parties. The practice on the part of the employer is undoubtedly unethical, unfair, and impermissible under the relevant law. So, in the given scenario, if you possess any document or digital evidence that proves your relationship with the company, then serving a legal notice, you may escalate your grievance over the unfair labour practice against the company before the concerned Labour Commissioner or the Chief Inspector, Shops and Establishments, as the case may be seeking seeking their intervention into the matter to resolve the issues. You can simultaneously apply under Section 33C(2) of the ID Act before the Labour Court concerned, claiming your dues receivable post-resignation. Further, the SAMADHAN Portal was launched by the Ministry of Labour and Employment to facilitate the filing of industrial disputes by the workmen, employers, and trade unions under the Industrial Disputes Act, 1947. The online portal has a user-friendly interface and has enhanced transparency and efficiency of grievance resolution for all stakeholders. The workmen/trade unions/management can file their disputes and claims by logging into the portal through the UMANG app and also by visiting the nearest Common Services Centres. If required, consult with an Advocate experienced in service matters to navigate the issue in the right way."
"I am working as Assistant Professor Chemistry Department in Government College of Engineering in Tamil Nadu Government. I Joined May 2017 with MPhil Degree and NET Qualified. After joined get a PhD degree Sep 2017. Our College given only MPhil Degree incentive whereas PhD incentive not given yet. All GO's says I am eligible to get PhD incentive. But not given. Kindly help me.( Dharmapuri, Tamil Nadu )","Dear Client,in such scenario you can write a Formal Representation to your Principal and Regional Joint Director of Collegiate Education . Attach a copy of your Ph.D. degree certificate, copies of the  G.O.s, Your appointment order and if there is no action taken by the said personel yo can file an RTI Application with  the Higher Education Department or DCE asking the reason why Ph.D. incentive has not been granted to you.  Or, Escalate to DCE/Directorate of Technical Education if your college is under DoTE escalate to the Director of Technical Education, Chennai. You can also submit a grievance on the CM Cell or TN e-Governance Grievance portal.For taking any legal action you can consult an Advocate."
"Legal Opinion
Re: Whether the Action Taken by the University Constitutes âDebarmentâ Under Clause (g) of the UPSC Attestation Form

Background:
I, XX, a female student from Delhi and a graduate of XX University, was subject to an academic disciplinary order in August 2023. The university issued an official decision regarding one of my examination papers, with the following directives:

&gt; i) Paper is to be cancelled.
ii) Student be allowed to appear in the Supplementary Examinations to be held June/Julyâ2024.
iii) Student will be on Academic Probation of 01 year.



Although the university conducted supplementary examinations in November 2023, I was not permitted to appear in that session, as the order specifically stated that I was to take the examination in the June/July 2024 session. I complied with this instruction and successfully cleared the paper in that attempt.

Issue for Consideration:
Whether the actions listed above constitute âdebarment from any examinationâ or ârusticationâ under Clause (g) of the UPSC Attestation Form, which asks:

&gt; âHave you ever been debarred from any examination or rusticated by any University or any other educational authority/institution?â( New Delhi, Delhi )","Dear Client,Clause (g) of the UPSC Attestation Form requires candidates to declare whether they have ever been debarred from any examination or rusticated from an educational institution. This clause is designed to ensure transparency and allows UPSC to assess a candidate's suitability for the civil services, taking into account any past disciplinary issues. Debarred means being officially barred, banned, or excluded from taking the examination. This can happen due to various reasons, such as violating academic integrity policies, failing to meet attendance requirements, or being caught cheating in the course of exams.. Rustication is a temporary suspension from a university or college, initiated as a disciplinary measure for misconduct. Depending on the severity of the violation, a student may face academic probation or other disciplinary measures. So, from the nature of the directives of the university, it transpires that as a measure of disciplinary action against proven misconduct, the university has passed such directives that can affect a student's academic record and potentially impact future opportunities."
