source,target,attributes
PC::Appellant Participated in Arbitration Proceedings,PC::Jurisdictional Objection Not Raised During Arbitration,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Appellant Participated in Arbitration Proceedings,HKG::EPF_AT_25,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Appellant Participated in Arbitration Proceedings,HKG::FIN_A_15J,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Jurisdiction Objection Waived by Appellant,"PC::Section 4 of the Arbitration and Conciliation Act, 1996","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Jurisdiction Objection Waived by Appellant,"PC::Section 16 of the Arbitration and Conciliation Act, 1996","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Jurisdiction Objection Waived by Appellant,HKG::IEA_41,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Complaint Case Filed Against Accused,PC::High Court Set Aside Clubbing of Cases,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::High Court Set Aside Clubbing of Cases,PC::Learned Magistrate Refused Process Against Appellants,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::High Court Set Aside Clubbing of Cases,PC::High Court Directed Commitment to Sessions Court,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::High Court Set Aside Clubbing of Cases,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Learned Magistrate Refused Process Against Appellants,HKG::MHA_102,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Directed Commitment to Sessions Court,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Order Issued Without Jurisdiction,PC::Trial Court Directed to Proceed Expeditiously,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Order Issued Without Jurisdiction,HKG::IEA_41,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Appellants Convicted for Murder,PC::No Individual Role Ascribed to Appellants,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Appellants Convicted for Murder,PC::Trivial Incident Led to Murder,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Appellants Convicted for Murder,PC::Direct Evidence Against First Appellant,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Appellants Convicted for Murder,PC::Witnesses Provided Consistent Testimony,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Appellants Convicted for Murder,PC::Section 302 of the Indian Penal Code,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::No Individual Role Ascribed to Appellants,PC::Section 302 of the IPC,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::No Individual Role Ascribed to Appellants,PC::Section 304 Part II of the IPC,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Trivial Incident Led to Murder,PC::Community Background Considered in Sentencing,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Trivial Incident Led to Murder,PC::Section 304 Part II of the Indian Penal Code,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Prosecution Witnesses Supported Case,PC::Appellants Convicted for Murder,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Prosecution Witnesses Supported Case,HKG::LIM_74,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Assault Resulted in Death of Deceased,PC::Section 302 of the IPC,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Assault Resulted in Death of Deceased,PC::Section 304 Part II of the IPC,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Section 302 of the IPC,HKG::DSEA_147,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 304 Part II of the IPC,HKG::DSEA_147,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Accused Residing Beyond Jurisdiction,PC::Inquiry Under Section 202 CrPC Mandatory,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Accused Residing Beyond Jurisdiction,HKG::IEA_41,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Inquiry Under Section 202 CrPC Mandatory,HKG::LIM_135,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Inquiry Under Section 202 CrPC Mandatory,HKG::LIM_136,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Inquiry Under Section 202 CrPC Mandatory,HKG::FIN_A_89,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Summons Issued Without Inquiry,PC::Inquiry Under Section 202 CrPC Mandatory,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Complaint Filed Against Accused,PC::Summons Issued Without Inquiry,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Appellant Convicted for Grievous Hurt,PC::Settlement Between Parties Confirmed,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Appellant Convicted for Grievous Hurt,PC::Evidence of Weapon Used Disputed,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Appellant Convicted for Grievous Hurt,"PC::Section 326 of the Indian Penal Code, 1860","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Settlement Between Parties Confirmed,PC::Section 320 of the Code of Criminal Procedure,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Settlement Between Parties Confirmed,PC::Article 142 of the Constitution of India,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Conviction Converted to Lesser Offence,PC::Section 325 of the IPC,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Section 320 of the Code of Criminal Procedure,HKG::EC_RULES_17,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 320 of the Code of Criminal Procedure,HKG::LIM_118,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 320 of the Code of Criminal Procedure,HKG::SOC_REG_22,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Appellant Convicted for Contempt,PC::Appellant Tendered Unconditional Apology,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Appellant Convicted for Contempt,PC::Fine Imposed Exceeds Statutory Limit,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Appellant Tendered Unconditional Apology,PC::Serious Allegations Against Judges,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Appellant Tendered Unconditional Apology,PC::Special Court Found Perjury Committed,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Fine Imposed Exceeds Statutory Limit,"PC::Section 12 of the Contempt of Courts Act, 1971","{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
"PC::Section 12 of the Contempt of Courts Act, 1971",HKG::SOC_REG_12C,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Claimants Filed for Compensation,PC::Deceased Died in Road Accident,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Claimants Filed for Compensation,HKG::compensation,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Claimants Filed for Compensation,HKG::LIM_73,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Claimants Filed for Compensation,HKG::LIM_91,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Reduced Compensation Amount,PC::Potential Earning Capacity of Deceased Considered,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::High Court Reduced Compensation Amount,PC::Future Prospects of Deceased Ignored by High Court,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::High Court Reduced Compensation Amount,PC::High Court Misread Disability Certificate,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::High Court Reduced Compensation Amount,PC::High Court Erred in Deducting Personal Expenditure,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::High Court Reduced Compensation Amount,HKG::compensation,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Reduced Compensation Amount,HKG::LIM_73,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Reduced Compensation Amount,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Potential Earning Capacity of Deceased Considered,PC::High Court Reduced Compensation Amount,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Future Prospects of Deceased Ignored by High Court,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Contempt Petition Filed for Disobedience,PC::High Court Issued Directions to Union of India,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::High Court Issued Directions to Union of India,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Civil Appeal Dismissed by Supreme Court,PC::Contempt Petition Filed for Disobedience,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Petitioner Claims Willful Disobedience of Court Orders,PC::Article 129 of the Constitution of India,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Jurisdiction of Supreme Court to Entertain Petition Discussed,"PC::Section 12 of the Contempt of Courts Act, 1971","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Jurisdiction of Supreme Court to Entertain Petition Discussed,HKG::IEA_41,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Accused Convicted for Bribery,PC::Long Delay in Legal Proceedings Considered,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Long Delay in Legal Proceedings Considered,"PC::Section 5(1)(d) and Section 5(2) of the Prevention of Corruption Act, 1947","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Long Delay in Legal Proceedings Considered,PC::Sentence Reduction Considered Due to Mitigating Factors,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Long Delay in Legal Proceedings Considered,HKG::EPF_AT_25,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Long Delay in Legal Proceedings Considered,HKG::FIN_A_15J,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Height Selection Criteria Disputed,PC::Candidates Dismissed for Height Manipulation,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Height Selection Criteria Disputed,PC::Article 14 of the Constitution of India,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Height Selection Criteria Disputed,HKG::RPSR_9036,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Height Selection Criteria Disputed,HKG::FIN_A_15J,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Candidates Dismissed for Height Manipulation,PC::Termination Considered Harsh After Four Years of Service,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Candidates Dismissed for Height Manipulation,"PC::Bihar Police Act, 2007","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Candidates Dismissed for Height Manipulation,HKG::RPSR_7,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Candidates Dismissed for Height Manipulation,HKG::RPSR_1984,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Candidates Dismissed for Height Manipulation,HKG::RPSR_19,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Termination Considered Harsh After Four Years of Service,"PC::Bihar Police Act, 2007","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Termination Considered Harsh After Four Years of Service,"PC::Bihar Police Manual, 1978","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Revised Rules for Selection Introduced,PC::Height Selection Criteria Disputed,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Revised Rules for Selection Introduced,HKG::RPSR_9036,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Revised Rules for Selection Introduced,HKG::FIN_A_15J,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Allegation of Manipulation Duly Enquired,PC::Termination Considered Harsh After Four Years of Service,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Lease Renewal Option Not Exercised,PC::High Court Reversed Trial Court Finding,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::High Court Reversed Trial Court Finding,PC::Section 50 of Act LVII of 1947,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::High Court Reversed Trial Court Finding,PC::Article 226 of the Constitution,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::High Court Reversed Trial Court Finding,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Act LVII of 1947 Applicable to Pending Appeals,PC::Ejectment Decree Set Aside Due to Changed Law,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Act LVII of 1947 Applicable to Pending Appeals,HKG::COMP_MA_31,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Acquittal of Appellants Challenged,PC::Prosecution Evidence Discredited,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Acquittal of Appellants Challenged,PC::Section 417 of the Criminal Procedure Code,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Acquittal of Appellants Challenged,HKG::LIM_114,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Prosecution Evidence Discredited,HKG::LIM_74,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Found Acquittal Perverse,PC::Prosecution Failed to Prove Case Beyond Doubt,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::High Court Found Acquittal Perverse,PC::Section 439 of the Criminal Procedure Code,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::High Court Found Acquittal Perverse,HKG::LIM_114,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Found Acquittal Perverse,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Prosecution Failed to Prove Case Beyond Doubt,HKG::LIM_74,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 439 of the Criminal Procedure Code,HKG::EC_RULES_17,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 439 of the Criminal Procedure Code,HKG::LIM_118,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 439 of the Criminal Procedure Code,HKG::SOC_REG_22,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 417 of the Criminal Procedure Code,HKG::EC_RULES_17,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 417 of the Criminal Procedure Code,HKG::LIM_118,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 417 of the Criminal Procedure Code,HKG::SOC_REG_22,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Lease Validity Disputed,PC::Subletting Allegation Made,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Subletting Allegation Made,PC::Damages to Property Claimed,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Possession Not Delivered After Lease Termination,PC::Trial Court Found No Damage,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Possession Not Delivered After Lease Termination,HKG::LIM_61,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Possession Not Delivered After Lease Termination,HKG::LIM_63,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Possession Not Delivered After Lease Termination,HKG::LIM_64,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Dismissed Appeal,PC::High Court Allowed Cross-objection in Part,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::High Court Dismissed Appeal,PC::Insurance Court Confirmed Employee Coverage,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::High Court Dismissed Appeal,"PC::Section 75 of the Employees State Insurance Act, 1948","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::High Court Dismissed Appeal,PC::Fraud Committed by Plaintiff,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::High Court Dismissed Appeal,PC::Election Tribunal Erred in Directing Recount,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::High Court Dismissed Appeal,PC::Tribunal Awarded Compensation,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::High Court Dismissed Appeal,PC::Ex-Parte Decree Passed,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::High Court Dismissed Appeal,PC::Technicalities in Claiming Credit Not Accepted,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::High Court Dismissed Appeal,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Allowed Cross-objection in Part,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Payment of Rent Accepted,PC::No Holding Over Established,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Payment of Rent Accepted,HKG::FIN_A_153C,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::No Holding Over Established,HKG::LIM_104,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Injunction Prayer Denied,PC::High Court Allowed Cross-objection in Part,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Injunction Prayer Denied,HKG::LIM_90,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Injunction Prayer Denied,HKG::LIM_135,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Injunction Prayer Denied,HKG::LIM_136,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Suit Filed for Reopening Transactions,PC::Appellants Sought Relief Under Section 36,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Suit Filed for Reopening Transactions,HKG::FIN_A_87,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Suit Filed for Reopening Transactions,HKG::BTC_347,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Decrees in Previous Suit Not Reopened,"PC::Section 36 of the Bengal Money Lenders Act, 1940","{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Execution Case Dismissed for Non-prosecution,PC::Attachment of Properties Continued by Court Order,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Execution Case Dismissed for Non-prosecution,HKG::LIM_74,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Excess Profits Tax Dispute,PC::Dyeing Plant Let Out During Idle Period,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Dyeing Plant Let Out During Idle Period,PC::High Court Decision Reversed,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Dyeing Plant Let Out During Idle Period,PC::Section 10 of the Indian Income-tax Act,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Dyeing Plant Let Out During Idle Period,PC::Section 9 of the Indian Income-tax Act,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Income from Letting Not Considered Business Income,PC::Commercial Asset Definition Clarified,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Income from Letting Not Considered Business Income,PC::Section 12 of the Indian Income-tax Act,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Income from Letting Not Considered Business Income,HKG::FIN_A_45,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Commercial Asset Definition Clarified,PC::Section 2(5) of the Excess Profits Tax Act,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::High Court Decision Reversed,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 2(5) of the Excess Profits Tax Act,HKG::FIN_A_89,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 12 of the Indian Income-tax Act,HKG::SOC_REG_12C,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 12 of the Indian Income-tax Act,HKG::FIN_A_2,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 12 of the Indian Income-tax Act,HKG::FIN_A_189,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 10 of the Indian Income-tax Act,HKG::FIN_A_2,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 10 of the Indian Income-tax Act,HKG::FIN_A_189,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 10 of the Indian Income-tax Act,HKG::FIN_A_29,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
