node_id,type,label,source_graph,level,original_id,text,number,act,desc,query_text,informative_answer,actionable_answer,readable_answer
PC::State Government Issued Clarificatory Circular on Selection Grades,CaseFact,State Government Issued Clarificatory Circular on Selection Grades,PC_Labour,pc,State Government Issued Clarificatory Circular on Selection Grades,,,,,,,,
PC::Representation for Selection Grade Rejected,CaseFact,Representation for Selection Grade Rejected,PC_Labour,pc,Representation for Selection Grade Rejected,,,,,,,,
PC::Court Examined Terms of Service for Increment Eligibility,CaseFact,Court Examined Terms of Service for Increment Eligibility,PC_Labour,pc,Court Examined Terms of Service for Increment Eligibility,,,,,,,,
PC::Section 4 of Workmen Compensation Act,LegalProvision,Section 4 of Workmen Compensation Act,PC_Labour,pc,Section 4 of Workmen Compensation Act,,,,,,,,
"PC::State of Rajasthan Ors. v. Daya Lal Ors., AIR 2011 SC 1193",CaseLaw,"State of Rajasthan Ors. v. Daya Lal Ors., AIR 2011 SC 1193",PC_Labour,pc,"State of Rajasthan Ors. v. Daya Lal Ors., AIR 2011 SC 1193",,,,,,,,
"PC::General Insurance Employees Pension Scheme, 1995",CaseFact,"General Insurance Employees Pension Scheme, 1995",PC_Labour,pc,"General Insurance Employees Pension Scheme, 1995",,,,,,,,
PC::Promotion Withheld Due to Charge-sheet,CaseFact,Promotion Withheld Due to Charge-sheet,PC_Labour,pc,Promotion Withheld Due to Charge-sheet,,,,,,,,
PC::Integrity Certificate Withheld,CaseFact,Integrity Certificate Withheld,PC_Labour,pc,Integrity Certificate Withheld,,,,,,,,
PC::High Court Allowed Partial Promotion,CaseFact,High Court Allowed Partial Promotion,PC_Labour,pc,High Court Allowed Partial Promotion,,,,,,,,
PC::Provisional Inclusion in Select List,CaseFact,Provisional Inclusion in Select List,PC_Labour,pc,Provisional Inclusion in Select List,,,,,,,,
PC::Disciplinary Proceedings Impacting Promotion,CaseFact,Disciplinary Proceedings Impacting Promotion,PC_Labour,pc,Disciplinary Proceedings Impacting Promotion,,,,,,,,
"PC::Regulation 5 of Indian Administrative Service Appointment by Promotion Regulations, 1955",LegalProvision,"Regulation 5 of Indian Administrative Service Appointment by Promotion Regulations, 1955",PC_Labour,pc,"Regulation 5 of Indian Administrative Service Appointment by Promotion Regulations, 1955",,,,,,,,
PC::Employee Sustained Permanent Disability,CaseFact,Employee Sustained Permanent Disability,PC_Labour,pc,Employee Sustained Permanent Disability,,,,,,,,
PC::Claim for Enhanced Compensation Filed,CaseFact,Claim for Enhanced Compensation Filed,PC_Labour,pc,Claim for Enhanced Compensation Filed,,,,,,,,
PC::High Court Enhanced Compensation Award,CaseFact,High Court Enhanced Compensation Award,PC_Labour,pc,High Court Enhanced Compensation Award,,,,,,,,
PC::Loss of Future Earning Capacity Assessed,CaseFact,Loss of Future Earning Capacity Assessed,PC_Labour,pc,Loss of Future Earning Capacity Assessed,,,,,,,,
PC::Claim for Loss of Marriage Prospects,CaseFact,Claim for Loss of Marriage Prospects,PC_Labour,pc,Claim for Loss of Marriage Prospects,,,,,,,,
PC::Claim for Pain and Suffering,CaseFact,Claim for Pain and Suffering,PC_Labour,pc,Claim for Pain and Suffering,,,,,,,,
PC::Claim for Loss of Amenities,CaseFact,Claim for Loss of Amenities,PC_Labour,pc,Claim for Loss of Amenities,,,,,,,,
PC::Claim for Litigation Costs,CaseFact,Claim for Litigation Costs,PC_Labour,pc,Claim for Litigation Costs,,,,,,,,
"PC::Workmen Compensation Act, 1923",LegalProvision,"Workmen Compensation Act, 1923",PC_Labour,pc,"Workmen Compensation Act, 1923",,,,,,,,
PC::Sarla Verma Ors. v. Delhi Transport Corporation,CaseLaw,Sarla Verma Ors. v. Delhi Transport Corporation,PC_Labour,pc,Sarla Verma Ors. v. Delhi Transport Corporation,,,,,,,,
PC::Govind Yadav v. New India Insurance Co. Ltd.,CaseLaw,Govind Yadav v. New India Insurance Co. Ltd.,PC_Labour,pc,Govind Yadav v. New India Insurance Co. Ltd.,,,,,,,,
PC::Raj Kumar v. Ajay Kumar Anr.,CaseLaw,Raj Kumar v. Ajay Kumar Anr.,PC_Labour,pc,Raj Kumar v. Ajay Kumar Anr.,,,,,,,,
PC::Municipal Corporation of Delhi v. Uphaar Tragedy Victims Association Ors.,CaseLaw,Municipal Corporation of Delhi v. Uphaar Tragedy Victims Association Ors.,PC_Labour,pc,Municipal Corporation of Delhi v. Uphaar Tragedy Victims Association Ors.,,,,,,,,
PC::Employer Excluded Overtime and Leave Encashment from Allowance Calculation,CaseFact,Employer Excluded Overtime and Leave Encashment from Allowance Calculation,PC_Labour,pc,Employer Excluded Overtime and Leave Encashment from Allowance Calculation,,,,,,,,
PC::Workmen Demanded Inclusion of Overtime and Leave Encashment,CaseFact,Workmen Demanded Inclusion of Overtime and Leave Encashment,PC_Labour,pc,Workmen Demanded Inclusion of Overtime and Leave Encashment,,,,,,,,
PC::Industrial Tribunal Directed Payment of Allowance Considering Overtime and Leave Encashment,CaseFact,Industrial Tribunal Directed Payment of Allowance Considering Overtime and Leave Encashment,PC_Labour,pc,Industrial Tribunal Directed Payment of Allowance Considering Overtime and Leave Encashment,,,,,,,,
PC::High Court Affirmed Tribunal Award Without Discussion,CaseFact,High Court Affirmed Tribunal Award Without Discussion,PC_Labour,pc,High Court Affirmed Tribunal Award Without Discussion,,,,,,,,
"PC::Section 2(b) of the Employees Provident Funds and Miscellaneous Provisions Act, 1952",LegalProvision,"Section 2(b) of the Employees Provident Funds and Miscellaneous Provisions Act, 1952",PC_Labour,pc,"Section 2(b) of the Employees Provident Funds and Miscellaneous Provisions Act, 1952",,,,,,,,
PC::Management Challenged Constitutionality of Act,LegalProvision,Management Challenged Constitutionality of Act,PC_Labour,pc,Management Challenged Constitutionality of Act,,,,,,,,
PC::Wage Boards Established for Newspaper Employees,CaseFact,Wage Boards Established for Newspaper Employees,PC_Labour,pc,Wage Boards Established for Newspaper Employees,,,,,,,,
PC::Petitioners Claimed Act Infringes Fundamental Rights,LegalProvision,Petitioners Claimed Act Infringes Fundamental Rights,PC_Labour,pc,Petitioners Claimed Act Infringes Fundamental Rights,,,,,,,,
PC::Article 14 of the Constitution of India,LegalProvision,Article 14 of the Constitution of India,PC_Labour,pc,Article 14 of the Constitution of India,,,,,,,,
PC::Article 19(1)(a) of the Constitution of India,LegalProvision,Article 19(1)(a) of the Constitution of India,PC_Labour,pc,Article 19(1)(a) of the Constitution of India,,,,,,,,
PC::Article 19(1)(g) of the Constitution of India,LegalProvision,Article 19(1)(g) of the Constitution of India,PC_Labour,pc,Article 19(1)(g) of the Constitution of India,,,,,,,,
PC::Wage Boards Found to Overlook Relevant Aspects,CaseFact,Wage Boards Found to Overlook Relevant Aspects,PC_Labour,pc,Wage Boards Found to Overlook Relevant Aspects,,,,,,,,
"PC::Working Journalists and Other Newspaper Employees Conditions of Service and Miscellaneous Provisions Act, 1955",LegalProvision,"Working Journalists and Other Newspaper Employees Conditions of Service and Miscellaneous Provisions Act, 1955",PC_Labour,pc,"Working Journalists and Other Newspaper Employees Conditions of Service and Miscellaneous Provisions Act, 1955",,,,,,,,
PC::Act Considered Obsolete Due to Industry Changes,LegalProvision,Act Considered Obsolete Due to Industry Changes,PC_Labour,pc,Act Considered Obsolete Due to Industry Changes,,,,,,,,
PC::Daily Wage Employees Seeking Regularization,CaseFact,Daily Wage Employees Seeking Regularization,PC_Labour,pc,Daily Wage Employees Seeking Regularization,,,,,,,,
PC::High Court Found Daily Wagers Cannot Claim Regular Employee Status,CaseFact,High Court Found Daily Wagers Cannot Claim Regular Employee Status,PC_Labour,pc,High Court Found Daily Wagers Cannot Claim Regular Employee Status,,,,,,,,
"PC::Section 6 of the Repeal Act, 2006",LegalProvision,"Section 6 of the Repeal Act, 2006",PC_Labour,pc,"Section 6 of the Repeal Act, 2006",,,,,,,,
PC::Article 14 of the Constitution,LegalProvision,Article 14 of the Constitution,PC_Labour,pc,Article 14 of the Constitution,,,,,,,,
PC::Integration of Services Required for Equity,CaseFact,Integration of Services Required for Equity,PC_Labour,pc,Integration of Services Required for Equity,,,,,,,,
PC::Retrospective Promotion Challenged,CaseFact,Retrospective Promotion Challenged,PC_Labour,pc,Retrospective Promotion Challenged,,,,,,,,
PC::High Court Quashed Retrospective Promotion,CaseFact,High Court Quashed Retrospective Promotion,PC_Labour,pc,High Court Quashed Retrospective Promotion,,,,,,,,
PC::Senior Police Officers Committee Recommended Seniority Fixation,CaseFact,Senior Police Officers Committee Recommended Seniority Fixation,PC_Labour,pc,Senior Police Officers Committee Recommended Seniority Fixation,,,,,,,,
PC::Promotion Based on Sub-Inspector Date of Appointment,CaseFact,Promotion Based on Sub-Inspector Date of Appointment,PC_Labour,pc,Promotion Based on Sub-Inspector Date of Appointment,,,,,,,,
PC::Discrimination in Promotion Opportunities Addressed,CaseFact,Discrimination in Promotion Opportunities Addressed,PC_Labour,pc,Discrimination in Promotion Opportunities Addressed,,,,,,,,
PC::Article 309 of the Constitution of India,LegalProvision,Article 309 of the Constitution of India,PC_Labour,pc,Article 309 of the Constitution of India,,,,,,,,
PC::State of Gujarat and Another v. Raman Lal Keshav Lal Soni,CaseLaw,State of Gujarat and Another v. Raman Lal Keshav Lal Soni,PC_Labour,pc,State of Gujarat and Another v. Raman Lal Keshav Lal Soni,,,,,,,,
PC::B.S. Yadav and Others v. State of Haryana,CaseLaw,B.S. Yadav and Others v. State of Haryana,PC_Labour,pc,B.S. Yadav and Others v. State of Haryana,,,,,,,,
PC::Tamil Nadu Education Department Ministerial and General Subordinate Services Association v. State of Tamil Nadu,CaseLaw,Tamil Nadu Education Department Ministerial and General Subordinate Services Association v. State of Tamil Nadu,PC_Labour,pc,Tamil Nadu Education Department Ministerial and General Subordinate Services Association v. State of Tamil Nadu,,,,,,,,
PC::Claim for Partition of Property,CaseFact,Claim for Partition of Property,PC_Labour,pc,Claim for Partition of Property,,,,,,,,
PC::Mother Deceased During Suit,CaseFact,Mother Deceased During Suit,PC_Labour,pc,Mother Deceased During Suit,,,,,,,,
PC::High Court Allowed Appeal Ex Parte,CaseFact,High Court Allowed Appeal Ex Parte,PC_Labour,pc,High Court Allowed Appeal Ex Parte,,,,,,,,
PC::Appellants Argued for Dismissal in Default,CaseFact,Appellants Argued for Dismissal in Default,PC_Labour,pc,Appellants Argued for Dismissal in Default,,,,,,,,
PC::High Court Dismissed Applications for Setting Aside Ex Parte Order,LegalProvision,High Court Dismissed Applications for Setting Aside Ex Parte Order,PC_Labour,pc,High Court Dismissed Applications for Setting Aside Ex Parte Order,,,,,,,,
PC::Order XLI Rule 17 of the Code of Civil Procedure,LegalProvision,Order XLI Rule 17 of the Code of Civil Procedure,PC_Labour,pc,Order XLI Rule 17 of the Code of Civil Procedure,,,,,,,,
PC::Article 136 of the Constitution of India,LegalProvision,Article 136 of the Constitution of India,PC_Labour,pc,Article 136 of the Constitution of India,,,,,,,,
PC::Promotion Criteria Disputed,CaseFact,Promotion Criteria Disputed,PC_Labour,pc,Promotion Criteria Disputed,,,,,,,,
PC::Vested Rights of Constables Considered,CaseFact,Vested Rights of Constables Considered,PC_Labour,pc,Vested Rights of Constables Considered,,,,,,,,
PC::Amendment to Promotion Rules Challenged,LegalProvision,Amendment to Promotion Rules Challenged,PC_Labour,pc,Amendment to Promotion Rules Challenged,,,,,,,,
PC::High Court Quashed Tribunal Orders,CaseFact,High Court Quashed Tribunal Orders,PC_Labour,pc,High Court Quashed Tribunal Orders,,,,,,,,
PC::Senior Constables,CaseFact,Senior Constables,PC_Labour,pc,Senior Constables,,,,,,,,
PC::Vacancies Governed by Pre-Amended Rules,LegalProvision,Vacancies Governed by Pre-Amended Rules,PC_Labour,pc,Vacancies Governed by Pre-Amended Rules,,,,,,,,
PC::Delay and Laches Argument Rejected,CaseFact,Delay and Laches Argument Rejected,PC_Labour,pc,Delay and Laches Argument Rejected,,,,,,,,
"PC::Section 30 of the Employees Compensation Act, 1923",LegalProvision,"Section 30 of the Employees Compensation Act, 1923",PC_Labour,pc,"Section 30 of the Employees Compensation Act, 1923",,,,,,,,
PC::Disciplinary Proceedings Stayed Pending Criminal Case,CaseFact,Disciplinary Proceedings Stayed Pending Criminal Case,PC_Labour,pc,Disciplinary Proceedings Stayed Pending Criminal Case,,,,,,,,
PC::Charges Against Employees Involve Serious Offences,CaseFact,Charges Against Employees Involve Serious Offences,PC_Labour,pc,Charges Against Employees Involve Serious Offences,,,,,,,,
PC::Delay in Criminal Trial Affects Disciplinary Proceedings,CaseFact,Delay in Criminal Trial Affects Disciplinary Proceedings,PC_Labour,pc,Delay in Criminal Trial Affects Disciplinary Proceedings,,,,,,,,
PC::Employees Under Suspension Receiving Subsistence Allowance,CaseFact,Employees Under Suspension Receiving Subsistence Allowance,PC_Labour,pc,Employees Under Suspension Receiving Subsistence Allowance,,,,,,,,
PC::High Court Directed Expeditious Conclusion of Criminal Proceedings,CaseFact,High Court Directed Expeditious Conclusion of Criminal Proceedings,PC_Labour,pc,High Court Directed Expeditious Conclusion of Criminal Proceedings,,,,,,,,
PC::Employee Terminated Based on Incorrect Date of Birth,CaseFact,Employee Terminated Based on Incorrect Date of Birth,PC_Labour,pc,Employee Terminated Based on Incorrect Date of Birth,,,,,,,,
PC::Birth Certificate Issued by Municipal Corporation,CaseFact,Birth Certificate Issued by Municipal Corporation,PC_Labour,pc,Birth Certificate Issued by Municipal Corporation,,,,,,,,
PC::Labour Court Found Termination Premature and Wrongful,CaseFact,Labour Court Found Termination Premature and Wrongful,PC_Labour,pc,Labour Court Found Termination Premature and Wrongful,,,,,,,,
PC::High Court Set Aside Labour Court Award,CaseFact,High Court Set Aside Labour Court Award,PC_Labour,pc,High Court Set Aside Labour Court Award,,,,,,,,
PC::Employee Raised Issue of Date of Birth in 1987,CaseFact,Employee Raised Issue of Date of Birth in 1987,PC_Labour,pc,Employee Raised Issue of Date of Birth in 1987,,,,,,,,
PC::Employee Provided Documentary Evidence for Date of Birth,CaseFact,Employee Provided Documentary Evidence for Date of Birth,PC_Labour,pc,Employee Provided Documentary Evidence for Date of Birth,,,,,,,,
PC::Articles 226 and 227 of the Constitution of India,LegalProvision,Articles 226 and 227 of the Constitution of India,PC_Labour,pc,Articles 226 and 227 of the Constitution of India,,,,,,,,
"PC::Section 35 of the Indian Evidence Act, 1872",LegalProvision,"Section 35 of the Indian Evidence Act, 1872",PC_Labour,pc,"Section 35 of the Indian Evidence Act, 1872",,,,,,,,
PC::High Court Set Aside Tribunal Order,LegalProvision,High Court Set Aside Tribunal Order,PC_Labour,pc,High Court Set Aside Tribunal Order,,,,,,,,
PC::Promotional Rules Violated Presidential Order,LegalProvision,Promotional Rules Violated Presidential Order,PC_Labour,pc,Promotional Rules Violated Presidential Order,,,,,,,,
PC::High Court Declared G.O.M. Unconstitutional,CaseFact,High Court Declared G.O.M. Unconstitutional,PC_Labour,pc,High Court Declared G.O.M. Unconstitutional,,,,,,,,
PC::Article 371-D of the Constitution of India,LegalProvision,Article 371-D of the Constitution of India,PC_Labour,pc,Article 371-D of the Constitution of India,,,,,,,,
PC::Doctrine of Prospective Overruling Discussed,CaseFact,Doctrine of Prospective Overruling Discussed,PC_Labour,pc,Doctrine of Prospective Overruling Discussed,,,,,,,,
PC::High Court Directed Weightage for Trained Apprentices,CaseFact,High Court Directed Weightage for Trained Apprentices,PC_Labour,pc,High Court Directed Weightage for Trained Apprentices,,,,,,,,
PC::Selection Process Governed by 2001 Rules,LegalProvision,Selection Process Governed by 2001 Rules,PC_Labour,pc,Selection Process Governed by 2001 Rules,,,,,,,,
PC::2003 Rules Introduced Additional Marks for Apprentices,LegalProvision,2003 Rules Introduced Additional Marks for Apprentices,PC_Labour,pc,2003 Rules Introduced Additional Marks for Apprentices,,,,,,,,
PC::High Court Found 2003 Rules Cannot Amend 2001 Rules,LegalProvision,High Court Found 2003 Rules Cannot Amend 2001 Rules,PC_Labour,pc,High Court Found 2003 Rules Cannot Amend 2001 Rules,,,,,,,,
PC::Preference for Trained Apprentices Not Provided in 2001 Rules,LegalProvision,Preference for Trained Apprentices Not Provided in 2001 Rules,PC_Labour,pc,Preference for Trained Apprentices Not Provided in 2001 Rules,,,,,,,,
PC::Petitioner Seeks Occupational Health Guidelines,CaseFact,Petitioner Seeks Occupational Health Guidelines,PC_Labour,pc,Petitioner Seeks Occupational Health Guidelines,,,,,,,,
PC::Workers Suffering from Occupational Diseases,CaseFact,Workers Suffering from Occupational Diseases,PC_Labour,pc,Workers Suffering from Occupational Diseases,,,,,,,,
PC::Central Government Accepted Some Suggestions,CaseFact,Central Government Accepted Some Suggestions,PC_Labour,pc,Central Government Accepted Some Suggestions,,,,,,,,
PC::Committee of Experts Constituted for Health and Safety,CaseFact,Committee of Experts Constituted for Health and Safety,PC_Labour,pc,Committee of Experts Constituted for Health and Safety,,,,,,,,
PC::Right to Health Recognized as Fundamental Right,CaseFact,Right to Health Recognized as Fundamental Right,PC_Labour,pc,Right to Health Recognized as Fundamental Right,,,,,,,,
PC::Factories Act,LegalProvision,Factories Act,PC_Labour,pc,Factories Act,,,,,,,,
PC::Environmental Protection Act,LegalProvision,Environmental Protection Act,PC_Labour,pc,Environmental Protection Act,,,,,,,,
PC::Eligibility for Promotion Disputed,CaseFact,Eligibility for Promotion Disputed,PC_Labour,pc,Eligibility for Promotion Disputed,,,,,,,,
PC::Post Graduation Degree Not Recognized by MCI,CaseFact,Post Graduation Degree Not Recognized by MCI,PC_Labour,pc,Post Graduation Degree Not Recognized by MCI,,,,,,,,
PC::High Court Found Eligibility Criteria Met,CaseFact,High Court Found Eligibility Criteria Met,PC_Labour,pc,High Court Found Eligibility Criteria Met,,,,,,,,
"PC::Section 11(1) of the Indian Medical Council Act, 1956",LegalProvision,"Section 11(1) of the Indian Medical Council Act, 1956",PC_Labour,pc,"Section 11(1) of the Indian Medical Council Act, 1956",,,,,,,,
PC::Departmental Promotion Committee Failed to Consider,CaseFact,Departmental Promotion Committee Failed to Consider,PC_Labour,pc,Departmental Promotion Committee Failed to Consider,,,,,,,,
"PC::Section 11(2) of the Indian Medical Council Act, 1956",LegalProvision,"Section 11(2) of the Indian Medical Council Act, 1956",PC_Labour,pc,"Section 11(2) of the Indian Medical Council Act, 1956",,,,,,,,
PC::Judges Elevated from Bar Seek Pension Equality,CaseFact,Judges Elevated from Bar Seek Pension Equality,PC_Labour,pc,Judges Elevated from Bar Seek Pension Equality,,,,,,,,
PC::Discrimination in Pension Benefits for Judges,CaseFact,Discrimination in Pension Benefits for Judges,PC_Labour,pc,Discrimination in Pension Benefits for Judges,,,,,,,,
PC::Ten Years Practice as Advocate Considered for Pension,CaseFact,Ten Years Practice as Advocate Considered for Pension,PC_Labour,pc,Ten Years Practice as Advocate Considered for Pension,,,,,,,,
"PC::High Court Judges Salaries and Conditions of Service Act, 1954",LegalProvision,"High Court Judges Salaries and Conditions of Service Act, 1954",PC_Labour,pc,"High Court Judges Salaries and Conditions of Service Act, 1954",,,,,,,,
PC::High Court Judges Entitled to Enhanced Allowance for Domestic Help,CaseFact,High Court Judges Entitled to Enhanced Allowance for Domestic Help,PC_Labour,pc,High Court Judges Entitled to Enhanced Allowance for Domestic Help,,,,,,,,
PC::Article 21 of the Constitution of India,LegalProvision,Article 21 of the Constitution of India,PC_Labour,pc,Article 21 of the Constitution of India,,,,,,,,
PC::Employee Dismissed for Misconduct,CaseFact,Employee Dismissed for Misconduct,PC_Labour,pc,Employee Dismissed for Misconduct,,,,,,,,
PC::Inquiry Conducted Against Employee,CaseFact,Inquiry Conducted Against Employee,PC_Labour,pc,Inquiry Conducted Against Employee,,,,,,,,
PC::Court Found Inquiry Violated Natural Justice,CaseFact,Court Found Inquiry Violated Natural Justice,PC_Labour,pc,Court Found Inquiry Violated Natural Justice,,,,,,,,
PC::Punishment Deemed Disproportionate to Misconduct,CaseFact,Punishment Deemed Disproportionate to Misconduct,PC_Labour,pc,Punishment Deemed Disproportionate to Misconduct,,,,,,,,
PC::Employee Challenged Dismissal in Civil Suit,CaseFact,Employee Challenged Dismissal in Civil Suit,PC_Labour,pc,Employee Challenged Dismissal in Civil Suit,,,,,,,,
PC::Section 35 of the Standing Orders,LegalProvision,Section 35 of the Standing Orders,PC_Labour,pc,Section 35 of the Standing Orders,,,,,,,,
"PC::Industrial Disputes Act, 1947",LegalProvision,"Industrial Disputes Act, 1947",PC_Labour,pc,"Industrial Disputes Act, 1947",,,,,,,,
PC::Recruitment Process Challenged,CaseFact,Recruitment Process Challenged,PC_Labour,pc,Recruitment Process Challenged,,,,,,,,
PC::Lack of Transparency in Interview Marks,CaseFact,Lack of Transparency in Interview Marks,PC_Labour,pc,Lack of Transparency in Interview Marks,,,,,,,,
