node_id,type,text,level,number,act,desc,query_text,informative_answer,actionable_answer,readable_answer
"Sexual Harassment of Women at Workplace Act (POSH), 2013",Act,,h2,,,,,,,
"Indecent Representation of Women (Prohibition) Act, 1986",Act,,h2,,,,,,,
"National Commission for Women Act, 1990",Act,,h2,,,,,,,
"Medical Termination of Pregnancy Act, 1971",Act,,h2,,,,,,,
DVA_12,Section,Application of Magistrate.,h2,12,DVA,"Application to Magistrate — aggrieved person, Protection Officer, or any person on her behalf may apply for relief",,,,
"Protection of Women from Domestic Violence Act, 2005",Act,,h2,,,,,,,
domestic_violence,Concept,,,,,,,,,
DVA_17,Section,Right to reside in a shared household.,h2,17,DVA,Right of woman to reside in shared household regardless of her legal interest in the property,,,,
residence_order,Concept,,,,,,,,,
DVA_18,Section,Protection orders.,h2,18,DVA,Protection orders — Magistrate may prohibit respondent from committing any act of domestic violence,,,,
protection_order,Concept,,,,,,,,,
DVA_23,Section,Power to grant interim and ex parte orders.,h2,23,DVA,Power to grant interim and ex-parte orders on the same day to prevent harm to the aggrieved person,,,,
DVA_29,Section,"Appeal. 
 
CHAPTER V 
MISCELLANEOUS",h2,29,DVA,Appeal — any person aggrieved by an order of the Magistrate may appeal to the Sessions Court within 30 days,,,,
HMA_7,Section,Ceremonies for a Hindu marriage.,h2,7,HMA,Ceremonies for a Hindu marriage — Saptapadi (seven steps) essential; marriage complete on seventh step,,,,
"Hindu Marriage Act, 1955",Act,,h2,,,,,,,
marriage,Concept,,,,,,,,,
HMA_9,Section,Restitution of conjugal right.,h2,9,HMA,Restitution of conjugal rights — court may direct cohabitation where one spouse has withdrawn without reasonable excuse,,,,
restitution_of_conjugal_rights,Concept,,,,,,,,,
HMA_10,Section,"Judicial separation. 
NULLITY OF MARRIAGE AND DIVORCE",h2,10,HMA,Judicial separation — court may grant decree on same grounds as divorce; duty to cohabit suspended,,,,
judicial_separation,Concept,,,,,,,,,
HMA_12,Section,Voidable marriages.,h2,12,HMA,"Void and voidable marriages — grounds for decree of nullity (impotence, unsound mind, prohibited degrees, etc.)",,,,
nullity_of_marriage,Concept,,,,,,,,,
HMA_13,Section,Divorce.,h2,13,HMA,"Divorce — grounds for dissolution of marriage including cruelty, desertion, adultery, mental disorder, and conversion",,,,
divorce,Concept,,,,,,,,,
HMA_13B,Section,Divorce by mutual consent.,h2,13B,HMA,Divorce by mutual consent — both parties must present joint petition; court grants decree after cooling-off period,,,,
HMA_14,Section,No petition for divorce to be presented within one year of marriage.,h2,14,HMA,No petition for divorce within one year of marriage unless exceptional hardship or depravity is established,,,,
HMA_24,Section,Maintenance pendente lite and expenses of proceedings.,h2,24,HMA,Alimony pendente lite — interim maintenance and litigation expenses from date of notice during proceedings,,,,
maintenance,Concept,,,,,,,,,
HMA_25,Section,Permanent alimony and maintenance.,h2,25,HMA,Permanent alimony and maintenance — court may grant lump sum or monthly sum; modifiable on change of circumstances,,,,
HMA_26,Section,Custody of children.,h2,26,HMA,"Custody of children — court may make interim and final orders for custody, maintenance, and education of minor children",,,,
child_custody,Concept,,,,,,,,,
CRPC_125,Section,"Order for maintenance of wives, children and parents.",h2,125,CRPC,"Order for maintenance of wives, children, and parents — magistrate may award monthly allowance; wife includes divorced wife",,,,
"Code of Criminal Procedure, 1973",Act,,h2,,,,,,,
CRPC_128,Section,"Enforcement of order of maintenance.  
6 
 
CHAPTER X 
MAINTENANCE OF PUBLIC ORDER AND TRANQUILLITY 
A.–Unlawful assemblies 
SECTIONS",h2,128,CRPC,Enforcement of maintenance order — warrant of attachment; imprisonment for wilful default,,,,
CRPC_144,Section,"Power to issue order in urgent cases of nuisance or apprehended danger. 
144A.Power to prohibit carrying arms in procession or mass drill or mass training with arms. 
D.–Disputes as to immovable property",h2,144,CRPC,Power to issue order in urgent cases of nuisance or apprehended danger — restraining orders in volatile family disputes,,,,
public_nuisance,Concept,,,,,,,,,
CRPC_154,Section,Information in cognizable cases.,h2,154,CRPC,"Information in cognizable cases — FIR registration is mandatory under IPC 498A, dowry death, domestic violence, etc.",,,,
fir,Concept,,,,,,,,,
CRPC_340,Section,Procedure in cases mentioned in section 195.,h2,340,CRPC,Procedure for prosecution of false evidence and perjury committed in family court proceedings,,,,
perjury,Concept,,,,,,,,,
contempt_of_court,Concept,,,,,,,,,
CRPC_362,Section,Court not to alter judgment.,h2,362,CRPC,Court not to alter judgment — restriction on review of matrimonial orders; ensures finality of family court decrees,,,,
CRPC_383,Section,Procedure when appellant in jail.,h2,383,CRPC,Procedure for appealing summary orders including maintenance orders under Section 125,,,,
CRPC_389,Section,Suspension of sentence pending the appeal; release of appellant on bail.,h2,389,CRPC,Suspension of sentence pending appeal — applicable when maintenance enforcement orders are challenged,,,,
CRPC_407,Section,Power of High Court to transfer cases and appeals.,h2,407,CRPC,Power of High Court to transfer cases — transfer of matrimonial and maintenance cases between courts,,,,
CRPC_408,Section,Power of Sessions Judge to transfer cases and appeals.,h2,408,CRPC,Power of Sessions Judge to transfer cases from one criminal court to another in the same sessions division,,,,
CRPC_482,Section,Saving of inherent power of High Court.,h2,482,CRPC,"Inherent powers of High Court — quashing of FIR, maintenance orders, and criminal proceedings in matrimonial cases",,,,
BNSS_223,Section,Examination of complainant.,h2,223,BNSS,"BNSS equivalent of CrPC 125 — order for maintenance of wives, children, and parents; includes divorced wife",,,,
"Bharatiya Nagarik Suraksha Sanhita, 2023",Act,,h2,,,,,,,
BNSS_227,Section,Issue of process.,h2,227,BNSS,BNSS enforcement of maintenance — warrant and imprisonment for wilful default in payment of maintenance,,,,
BNSS_528,Section,Saving of inherent powers of High Court.,h2,528,BNSS,"BNSS inherent powers — quashing of criminal proceedings, FIR, and orders in matrimonial cases (equivalent to CrPC 482)",,,,
IPC_182,Section,"False information, with intent to cause public servant to use his lawful power to the injury of another person.",h2,182,IPC,False information to public servant with intent to cause injury — misuse in matrimonial/custody disputes,,,,
Indian Penal Code,Act,,h2,,,,,,,
false_charge,Concept,,,,,,,,,
IPC_191,Section,"Giving false evidence. 
 
 
6 
 
SECTIONS",h2,191,IPC,Giving false evidence — making false statement on oath in family court proceedings,,,,
IPC_211,Section,False charge of offence made with intent to injure.,h2,211,IPC,False charge of offence with intent to injure — filing false IPC 498A or dowry complaint,,,,
IPC_268,Section,Public nuisance.,h2,268,IPC,Public nuisance — unlawful obstruction causing injury to the public; occasionally invoked in family property disputes,,,,
IPC_354,Section,Assault of criminal force to woman with intent to outrage her modesty.,h2,354,IPC,Assault or criminal force to woman with intent to outrage her modesty,,,,
sexual_harassment,Concept,,,,,,,,,
IPC_406,Section,Punishment for criminal breach of trust.,h2,406,IPC,Punishment for criminal breach of trust — misappropriation of streedhan (wife's property) by husband or in-laws,,,,
criminal_breach_of_trust,Concept,,,,,,,,,
streedhan,Concept,,,,,,,,,
IPC_415,Section,Cheating.,h2,415,IPC,"Cheating — fraudulent inducement including misrepresentation of marital status, concealment of prior marriage",,,,
cheating,Concept,,,,,,,,,
IPC_420,Section,"Cheating and dishonestly inducing delivery of property. 
Of Fraudulent Deeds and Dispositions of Property",h2,420,IPC,Cheating and dishonestly inducing delivery of property — property fraud in matrimonial context; 7 years + fine,,,,
IPC_441,Section,Criminal trespass.,h2,441,IPC,Criminal trespass — forcible entry into matrimonial home or shared household after separation,,,,
trespass,Concept,,,,,,,,,
IPC_494,Section,Marrying again during life-time of husband or wife.,h2,494,IPC,Marrying again during lifetime of husband or wife (bigamy) — 7 years imprisonment + fine,,,,
bigamy,Concept,,,,,,,,,
IPC_495,Section,Same offence with concealment of former marriage from person with whom subsequent marriage is contracted.,h2,495,IPC,Same offence with concealment of former marriage from person with whom subsequent marriage is contracted,,,,
IPC_498A,Section,"Husband or relative of husband of a woman subjecting her to cruelty. 
CHAPTER XXI 
OF DEFAMATION",h2,498A,IPC,"Cruelty by husband or relatives — physical/mental cruelty and dowry harassment; cognizable, non-bailable; 3 years + fine",,,,
cruelty,Concept,,,,,,,,,
dowry_harassment,Concept,,,,,,,,,
IPC_499,Section,"Defamation. 
Imputation of truth which public good requires to be made or published. 
Public conduct of public servants. 
Conduct of any person touching any public question. 
Publication of reports of proceedings of Courts. 
Merits of case decided in Court or conduct of witnesses and others concerned. 
Merits of public performance. 
Censure passed in good faith by person having lawful authority over another. 
Accusation preferred in good faith to authorised person. 
Imputation made in good faith by person for protection of his or other's interests. 
Caution intended for good of person to whom conveyed or for public good.",h2,499,IPC,Defamation — false imputations in matrimonial disputes; online defamation during divorce proceedings,,,,
defamation,Concept,,,,,,,,,
IPC_500,Section,Punishment for defamation.,h2,500,IPC,"Punishment for defamation — simple imprisonment up to 2 years, or fine, or both",,,,
IPC_506,Section,"Punishment for criminal intimidation. 
If threat be to cause death or grievous hurt, etc.",h2,506,IPC,"Punishment for criminal intimidation — threatening spouse, family members, or witnesses in matrimonial cases",,,,
criminal_intimidation,Concept,,,,,,,,,
BNS_28,Section,Consent known to be given under fear or misconception.,h2,28,BNS,BNS Section 28 — false information to public servant (equivalent to IPC 182) misused in matrimonial disputes,,,,
Bharatiya Nyaya Sanhita,Act,,h2,,,,,,,
BNS_63,Section,Rape.,h2,63,BNS,BNS Section 63 — rape / sexual assault (equivalent to IPC 375/376); relevant in marital violence context,,,,
BNS_82,Section,Marrying again during lifetime of husband or wife.,h2,82,BNS,"BNS Section 82 — bigamy, marrying again during lifetime of spouse (equivalent to IPC 494 and 495)",,,,
BNS_133,Section,"Assault or criminal force with intent to dishonour person, otherwise than on grave 
provocation.",h2,133,BNS,BNS Section 133 — public nuisance (equivalent to IPC 268); invoked in neighbourhood/family property disputes,,,,
BNS_140,Section,"Kidnapping or abducting in order to murder or for ransom, etc.",h2,140,BNS,BNS Section 140 — criminal trespass into shared household or matrimonial home (equivalent to IPC 441/448),,,,
BNS_217,Section,"False information, with intent to cause public servant to use his lawful power to injury of 
another person.",h2,217,BNS,BNS Section 217 — cruelty by husband or relatives (equivalent to IPC 498A); 3 years + fine; non-bailable,,,,
BNS_227,Section,Giving false evidence.,h2,227,BNS,BNS Section 227 — defamation (equivalent to IPC 499/500) in matrimonial and family disputes,,,,
BNS_248,Section,False charge of offence made with intent to injure.,h2,248,BNS,BNS Section 248 — criminal breach of trust (equivalent to IPC 406); misappropriation of streedhan,,,,
BNS_308,Section,"Extortion. 
Of robbery and dacoity",h2,308,BNS,BNS Section 308 — criminal intimidation (equivalent to IPC 503/506); threats to spouse or family members,,,,
BNS_316,Section,"Criminal breach of trust. 
Of receiving stolen property",h2,316,BNS,BNS Section 316(2) — dowry death; death caused by burns/bodily injury within 7 years of marriage due to dowry cruelty,,,,
BNS_318,Section,Cheating.,h2,318,BNS,BNS Section 318 — cheating (equivalent to IPC 415/420); includes marriage-related property fraud,,,,
BNS_351,Section,Criminal intimidation.,h2,351,BNS,BNS Section 351 — assault and criminal force / intimidation (equivalent to IPC 350/506),,,,
BNS_356,Section,"Defamation. 
Of breach of contract to attend on and supply wants of helpless person",h2,356,BNS,BNS Section 356 — assault or criminal force to woman with intent to outrage modesty (equivalent to IPC 354),,,,
HSA_8,Section,General rules of succession in the case of males.,h2,8,HSA,General rules of succession for a male Hindu dying intestate — Class I and Class II heirs,,,,
"Hindu Succession Act, 1956",Act,,h2,,,,,,,
inheritance,Concept,,,,,,,,,
HSA_10,Section,Distribution of property among heirs in class I of the Schedule.,h2,10,HSA,Distribution of property among heirs in Class I — per stirpes distribution,,,,
SRA_5,Section,Recovery of specific immovable property.,h2,5,SRA,Recovery of specific immovable property — suits for possession of matrimonial or ancestral home,,,,
"Specific Relief Act, 1963",Act,,h2,,,,,,,
property_rights,Concept,,,,,,,,,
SRA_34,Section,Discretion of court as to declaration of status or right.,h2,34,SRA,"Declaratory relief — declaration of marital status, legitimacy of children, and property title",,,,
CPC_94,Section,Supplemental proceedings.,h2,94,CPC,Section 94(c)&(e) — supplemental proceedings; attachment before judgment and injunctions in matrimonial property suits,,,,
Code of Civil Procedure,Act,,h2,,,,,,,
injunction,Concept,,,,,,,,,
CPC_151,Section,Saving of inherent powers of Court.,h2,151,CPC,Section 151 — inherent powers of court to make orders necessary to meet ends of justice in family civil proceedings,,,,
HAMA_15,Section,Valid adoption not to be cancelled.,h2,15,HAMA,Amount of maintenance for wife under HAMA — court shall have regard to standard of living of the husband,,,,
"Hindu Adoption and Maintenance Act, 1956",Act,,h2,,,,,,,
HAMA_18,Section,Maintenance of wife.,h2,18,HAMA,Maintenance of wife — Hindu wife entitled to claim maintenance from husband during his lifetime,,,,
HAMA_20,Section,Maintenance of children and aged parents.,h2,20,HAMA,Maintenance of children and aged parents — Hindu is bound to maintain minor legitimate/illegitimate children and aged parents,,,,
HMGA_6,Section,Natural guardians of a Hindu minor.,h2,6,HMGA,"Natural guardian of a Hindu minor — father is natural guardian; after father, mother; welfare of child is paramount",,,,
"Hindu Minority and Guardianship Act, 1956",Act,,h2,,,,,,,
guardianship,Concept,,,,,,,,,
DP_3,Section,"Penalty for giving or taking dowry.—5[(1)] If any person, after the commencement of this Act, 
gives or takes or abets the giving or taking of dowry, he shall be punishable 6[with imprisonment for a 
term which shall not be less than 7[five years, and with fine which shall not be less than fifteen thousand 
rupees or the amount of the value of such dowry, whichever is more]: 
Provided that the Court may, for adequate and special reasons to be recorded in the judgment, impose 
a sentence of imprisonment for a term of less than 8[five years].] 
 9[(2) Nothing in sub-section (1) shall apply to, or in relation to,— 
(a) presents which are given at the time of a marriage to the bride (without any demand having 
been made in that behalf): 
Provided that such presents are entered in a list maintained in accordance with the rules made 
under this Act; 
(b) presents which are given at the time of a marriage to the bridegroom (without any demand 
having been made in that behalf): 
Provided that such presents are entered in a list maintained in accordance with the rules made 
under this Act:",h2,3,DP,"Penalty for giving or taking dowry — imprisonment not less than 5 years + fine not less than ₹15,000 or value of dowry",,,,
"Dowry Prohibition Act, 1961",Act,,h2,,,,,,,
dowry,Concept,,,,,,,,,
DP_4,Section,"The Explanation I omitted by s. 2, ibid. (w.e.f. 2-10-1985).",h2,4,DP,"Penalty for demanding dowry — imprisonment not less than 6 months, which may extend to 2 years, and fine up to ₹10,000",,,,
dowry_demand,Concept,,,,,,,,,
MWPSC_5,Section,Application for maintenance,h2,5,MWPSC,Application for maintenance by parents/senior citizens — Maintenance Tribunal may award monthly allowance,,,,
"Maintenance and Welfare of Parents and Senior Citizens Act, 2007",Act,,h2,,,,,,,
MWPSC_23,Section,Transfer of property to be void in certain circumstances,h2,23,MWPSC,Transfer of property by senior citizen to be void if transferee fails to maintain them — voidable on Tribunal order,,,,
ISA_37,Section,"Where intestate has left child or children only. -Where the 
intestate has  left surviving  him a  child or  children, but  no more 
remote lineal  descendant through a deceased child, the property shall 
belong to  his surviving  child, if  there is  only one,  or shall  be 
equally divided among all his surviving children.",h2,37,ISA,Domicile relevant to succession — succession to movable property governed by law of domicile of deceased,,,,
"Indian Succession Act, 1925",Act,,h2,,,,,,,
LSA_12,Section,Criteria for giving legal services.,h2,12,LSA,"Criteria for giving legal services — women, children, victims of DV, and persons in custody entitled to free legal aid",,,,
"Legal Services Authority Act, 1987",Act,,h2,,,,,,,
legal_aid,Concept,,,,,,,,,
MVA_164,Section,"Power of Central Government to make rules. 
 
CHAPTER XII 
CLAIMS TRIBUNALS",h2,164,MVA,Scheme for golden hour treatment and structured formula-based compensation for road accident victims,,,,
"Motor Vehicles Act, 1988",Act,,h2,,,,,,,
motor_accident_compensation,Concept,,,,,,,,,
MVA_166,Section,Application for compensation.,h2,166,MVA,Application for compensation — family members/legal heirs of accident victim may file claim before Motor Accident Claims Tribunal (MACT),,,,
CCA_11,Section,Power of High Court to try offences committed or offenders found outside jurisdiction.,h2,11,CCA,Contempt not to apply to disobedience of minor irregularity; but non-payment of maintenance is punishable as contempt,,,,
"Contempt of Court Act, 1971",Act,,h2,,,,,,,
IEA_77,Section,Proof of documents by production of certified copies.,h2,77,IEA,"Proof of documents by production of certified copies — used for proving marriage, birth, death certificates in family proceedings",,,,
Evidence Act,Act,,h2,,,,,,,
IEA_79,Section,Presumption as to genuineness of certified copies.,h2,79,IEA,"Presumption as to genuineness of certified copies — courts presume certified official documents (marriage, succession) to be genuine",,,,
JJA_4,Section,Juvenile Justice Board.,h2,4,JJA,Juvenile Justice Board — constitution and powers; handles cases involving children in conflict with law and care/protection,,,,
"Juvenile Justice (Care and Protection of Children) Act, 2015",Act,,h2,,,,,,,
child_protection,Concept,,,,,,,,,
SMA_13,Section,Certificate of marriage.,h2,13,SMA,"Divorce under Special Marriage Act — grounds include adultery, desertion for 3 years, cruelty, mental disorder, leprosy, venereal disease",,,,
"Special Marriage Act, 1954",Act,,h2,,,,,,,
